month,year,topic,batchLength,textBlobAdjustedLength,vaderAdjustedLength,meanPolarity,meanSubjectivity,meanAdjustedPolarity,meanAdjustedSubjectivity,meanVaderPolarity,meanAdjustedVaderPolarity
1,2020,Playstation,40,20,18,0.011976010101010102,0.29084595959595966,0.023952020202020204,0.4816919191919193,0.064645,0.14365555555555554
2,2020,Playstation,40,21,21,0.06980113636363636,0.2981912878787879,0.13295454545454546,0.4679834054834055,-0.0056124999999999925,-0.010690476190476176
3,2020,Playstation,40,16,14,0.023996212121212106,0.30384469696969696,0.05999053030303027,0.5017992424242425,0.010860000000000009,0.031028571428571454
4,2020,Playstation,40,23,26,0.10778003246753246,0.41338879870129885,0.1874435347261434,0.5660384904950124,0.11714,0.1802153846153846
5,2020,Playstation,40,21,26,0.13652678571428573,0.33400198412698406,0.2600510204081633,0.6223053665910808,0.14740750000000002,0.22678076923076926
6,2020,Playstation,40,18,29,0.09758207070707073,0.27800505050505053,0.21684904601571273,0.6103815937149272,-0.024047499999999992,-0.03316896551724137
7,2020,Playstation,40,20,18,0.06267045454545454,0.287907196969697,0.1253409090909091,0.570814393939394,0.05032250000000003,0.11182777777777783
8,2020,Playstation,40,19,24,0.08865367965367965,0.26673051948051946,0.186639325586694,0.5089063568010936,0.17880250000000003,0.29800416666666674
9,2020,Playstation,40,20,21,0.06703778860028861,0.29847582972582976,0.13407557720057722,0.5419516594516594,0.0030225000000000087,0.005757142857142873
10,2020,Playstation,40,25,14,0.09894728535353535,0.34049558080808084,0.15831565656565658,0.4847929292929294,-0.006462499999999999,-0.01846428571428571
11,2020,Playstation,40,27,22,0.1234861111111111,0.32165277777777773,0.1829423868312757,0.47652263374485593,0.1396025,0.25382272727272726
12,2020,Playstation,40,17,19,0.06632891414141413,0.18395517676767678,0.1560680332739156,0.4093062982768865,0.026130000000000007,0.05501052631578949
1,2020,Nintendo Switch,40,20,21,0.11705537518037519,0.2454094516594517,0.23411075036075038,0.4908189033189034,0.0526425,0.10027142857142858
2,2020,Nintendo Switch,40,19,20,0.08532196969696969,0.28419507575757574,0.17962519936204147,0.5193580542264753,0.11405750000000003,0.22811500000000007
3,2020,Nintendo Switch,40,28,23,0.19422619047619047,0.3060297619047619,0.27746598639455783,0.42325680272108845,0.19147250000000005,0.33299565217391314
4,2020,Nintendo Switch,40,20,22,0.11141847041847039,0.22244318181818185,0.22283694083694078,0.4298863636363636,0.028570000000000005,0.05194545454545456
5,2020,Nintendo Switch,40,19,19,0.07288113275613275,0.258872113997114,0.1534339636971216,0.48709918736234536,0.11679999999999999,0.24589473684210525
6,2020,Nintendo Switch,40,19,24,0.12091477272727273,0.24377146464646468,0.2545574162679426,0.4605715045188729,0.1376425,0.22940416666666666
7,2020,Nintendo Switch,40,16,14,0.11029491341991342,0.22818046536796538,0.27573728354978355,0.5251386634199134,0.09289,0.2654
8,2020,Nintendo Switch,40,16,19,0.09162878787878789,0.2620265151515152,0.22907196969696975,0.4847537878787879,0.16089250000000002,0.338721052631579
9,2020,Nintendo Switch,40,21,19,0.0992347582972583,0.2576095779220779,0.18901858723287296,0.4621134817563389,0.09114000000000003,0.1918736842105264
10,2020,Nintendo Switch,40,19,22,0.1808414502164502,0.2480357142857143,0.3807188425609478,0.4484962406015037,0.07655500000000001,0.13919090909090912
11,2020,Nintendo Switch,40,22,17,0.08362373737373738,0.30672032828282836,0.15204315886134068,0.5122187786960514,0.09135,0.21494117647058822
12,2020,Nintendo Switch,40,19,22,0.17218795093795095,0.2771708152958153,0.3625009493430546,0.4729911900964533,0.22978,0.4177818181818182
1,2020,Xbox,40,25,22,0.01735795454545455,0.3977525252525252,0.027772727272727282,0.561070707070707,0.01789500000000001,0.032536363636363655
2,2020,Xbox,40,19,25,0.02889339826839827,0.23141098484848482,0.06082820688083846,0.4203577124629756,0.14958499999999997,0.23933599999999994
3,2020,Xbox,40,19,19,0.1088594276094276,0.29759764309764314,0.22917774233563704,0.5275739854687224,0.03792500000000001,0.07984210526315791
4,2020,Xbox,40,27,19,0.05816287878787878,0.34231060606060604,0.0861672278338945,0.4788860830527497,0.0527775,0.11111052631578948
5,2020,Xbox,40,24,19,0.05991582491582492,0.4187710437710438,0.09985970819304153,0.5937850729517397,0.04488249999999999,0.09448947368421051
6,2020,Xbox,40,23,17,0.03339015151515151,0.3279874639249639,0.05806982872200263,0.4873902064119456,0.1585075,0.3729588235294118
7,2020,Xbox,40,21,14,-0.01171590909090908,0.32495959595959595,-0.022316017316017296,0.4784944684944685,0.020184999999999998,0.05767142857142856
8,2020,Xbox,40,20,17,-0.03591991341991342,0.3132629870129871,-0.07183982683982684,0.4815259740259741,0.044415,0.10450588235294118
9,2020,Xbox,40,20,20,0.07209415584415582,0.30267496392496385,0.14418831168831164,0.4965999278499278,0.05895750000000002,0.11791500000000003
10,2020,Xbox,40,18,18,0.05528409090909091,0.26830808080808083,0.12285353535353535,0.5017957351290686,0.0760775,0.16906111111111113
11,2020,Xbox,40,21,16,0.11310786435786432,0.25322826479076477,0.2154435511578368,0.48233955198240913,0.13276499999999997,0.33191249999999994
12,2020,Xbox,40,24,22,0.028489989177489176,0.3370430194805195,0.047483315295815294,0.5231966991341991,0.09042999999999998,0.1644181818181818
