month,year,topic,batchLength,textBlobAdjustedLength,vaderAdjustedLength,meanPolarity,meanSubjectivity,meanAdjustedPolarity,meanAdjustedSubjectivity,meanVaderPolarity,meanAdjustedVaderPolarity
1,2020,Covid,45,15,23,0.026843033509700173,0.18422158088824753,0.08052910052910052,0.5193314093314093,0.03522444444444444,0.06891739130434782
2,2020,Covid,50,25,20,0.05419264069264068,0.25410822510822517,0.10838528138528136,0.45488311688311706,-0.05508999999999999,-0.137725
3,2020,Covid,50,16,17,0.06232229437229437,0.15720209235209237,0.1947571699134199,0.46208987193362194,-0.014422000000000008,-0.04241764705882355
4,2020,Covid,50,19,16,0.061119696969696984,0.19419545454545453,0.16084130781499206,0.43209330143540675,0.00018799999999999706,0.0005874999999999908
5,2020,Covid,50,20,23,0.011509090909090912,0.22554141414141415,0.028772727272727276,0.5055202020202021,-0.033218000000000004,-0.07221304347826088
6,2020,Covid,50,24,25,0.05970923520923522,0.18659163059163056,0.12439424001924004,0.35986351611351614,0.053416,0.106832
7,2020,Covid,50,20,26,0.06865800865800865,0.17050432900432896,0.17164502164502166,0.37626082251082243,0.02645199999999999,0.05086923076923075
8,2020,Covid,50,20,25,0.07455555555555557,0.20007575757575755,0.1863888888888889,0.4376893939393939,-0.0055859999999999955,-0.011171999999999991
9,2020,Covid,50,17,24,0.0691060606060606,0.1670909090909091,0.20325311942959,0.49144385026737974,0.073452,0.153025
10,2020,Covid,50,18,25,0.03573102453102454,0.1855498556998557,0.09925284591951261,0.4983329324995991,-0.03227400000000002,-0.06454800000000004
11,2020,Covid,50,31,29,0.07066287878787877,0.37917626262626264,0.11397238514173996,0.5067359074617139,0.011096000000000012,0.019131034482758644
12,2020,Covid,50,27,24,0.06108863636363636,0.24465,0.11312710437710437,0.4197222222222223,-0.08246000000000002,-0.1717916666666667
