month,year,topic,batchLength,textBlobAdjustedLength,vaderAdjustedLength,meanPolarity,meanSubjectivity,meanAdjustedPolarity,meanAdjustedSubjectivity,meanVaderPolarity,meanAdjustedVaderPolarity
1,2020,Biden,30,13,20,0.0004292929292929339,0.1875883838383839,0.0009906759906760014,0.4328962703962705,-0.0008366666666666671,-0.0012550000000000005
2,2020,Biden,30,19,18,0.09384848484848483,0.3018434343434343,0.14818181818181816,0.4765948963317384,0.04187666666666668,0.06979444444444446
3,2020,Biden,30,17,22,0.1286689814814815,0.3053703703703704,0.22706290849673205,0.5062091503267974,0.20043333333333332,0.2733181818181818
4,2020,Biden,30,10,23,0.06282828282828282,0.2206313131313131,0.18848484848484845,0.6418939393939394,-0.17318999999999998,-0.2259
5,2020,Biden,30,13,20,0.08777777777777777,0.21666666666666665,0.20256410256410257,0.4923076923076923,-0.20253999999999997,-0.30380999999999997
6,2020,Biden,30,10,12,0.03037037037037037,0.18546296296296297,0.09111111111111111,0.5338888888888889,0.019780000000000002,0.04945
7,2020,Biden,30,12,15,0.024120370370370372,0.18740740740740738,0.06030092592592593,0.4685185185185185,-0.03907000000000001,-0.07814000000000002
8,2020,Biden,30,10,15,0.036990740740740734,0.14814814814814817,0.11097222222222221,0.4344444444444444,0.014083333333333335,0.02816666666666667
9,2020,Biden,30,12,14,0.03883838383838383,0.17208754208754212,0.09709595959595958,0.39410774410774413,-0.020193333333333324,-0.04327142857142855
10,2020,Biden,30,9,20,0.05054292929292929,0.2893686868686869,0.16847643097643097,0.5645622895622896,0.07129666666666665,0.10694499999999998
11,2020,Biden,30,14,17,0.10024080086580085,0.2555149711399711,0.21480171614100182,0.47610350958565245,0.041273333333333335,0.07283529411764705
1,2020,Trump,30,13,19,0.03032828282828283,0.20683501683501684,0.069988344988345,0.3542346542346542,-0.1979466666666667,-0.3125473684210527
2,2020,Trump,30,14,22,0.04784722222222223,0.24821789321789323,0.10252976190476192,0.47475262832405696,-0.003946666666666654,-0.005381818181818165
3,2020,Trump,30,10,19,-0.07897306397306396,0.16744781144781146,-0.2369191919191919,0.48267676767676776,-0.12403666666666664,-0.1958473684210526
4,2020,Trump,30,16,22,0.01622053872053871,0.32095117845117843,0.030413510101010087,0.4804292929292929,-0.14676666666666668,-0.20013636363636367
5,2020,Trump,30,14,18,-0.0024984968734968636,0.2356000481000481,-0.005353921871778994,0.5048572459286744,-0.14831666666666668,-0.24719444444444447
6,2020,Trump,30,11,21,0.03907407407407408,0.15342592592592594,0.10656565656565659,0.4093434343434343,0.02662333333333334,0.03803333333333334
7,2020,Trump,30,14,21,-0.007936507936507933,0.23637566137566143,-0.017006802721088426,0.4708049886621316,-0.13826666666666668,-0.19752380952380955
8,2020,Trump,30,8,22,0.050694444444444445,0.09180555555555556,0.19010416666666666,0.34427083333333336,-0.18891333333333332,-0.2576090909090909
9,2020,Trump,30,10,25,0.0033221099887766514,0.16745230078563408,0.009966329966329953,0.4623569023569023,0.0261,0.03132
10,2020,Trump,30,11,14,0.027295875420875422,0.2231397306397307,0.07444329660238752,0.47825987144168974,-0.023326666666666687,-0.049985714285714335
11,2020,Trump,30,18,20,0.055654761904761894,0.415297619047619,0.09275793650793648,0.6291997354497354,-0.09474666666666666,-0.14211999999999997
1,2020,Putin,30,6,18,0.021553030303030303,0.11170454545454547,0.10776515151515152,0.5418560606060606,0.07138,0.11896666666666667
2,2020,Putin,30,8,19,0.03414772727272728,0.15299242424242424,0.1280539772727273,0.479971590909091,-0.11314666666666667,-0.17865263157894737
3,2020,Putin,30,9,19,0.002480359147025816,0.21526374859708192,0.008267863823419387,0.5842124953236065,-0.10851333333333334,-0.17133684210526318
4,2020,Putin,30,12,21,-0.029781144781144776,0.2844949494949496,-0.07445286195286194,0.7029040404040404,-0.04135000000000001,-0.05907142857142859
5,2020,Putin,30,10,18,-0.040601851851851854,0.1658796296296296,-0.12180555555555557,0.4976388888888888,-0.011886666666666667,-0.019811111111111113
6,2020,Putin,30,12,20,0.06222222222222223,0.21212962962962964,0.15555555555555559,0.5094907407407407,-0.059966666666666654,-0.08994999999999999
7,2020,Putin,30,11,16,0.03429292929292929,0.18449494949494952,0.09352617079889808,0.36680440771349865,-0.001353333333333336,-0.002537500000000005
8,2020,Putin,30,9,24,0.06383982683982684,0.16825974025974028,0.2127994227994228,0.49975468975468984,-0.1975733333333334,-0.24696666666666675
9,2020,Putin,30,7,17,0.015925925925925927,0.10726851851851851,0.06825396825396826,0.2365079365079365,-0.08690333333333333,-0.15335882352941177
10,2020,Putin,30,8,20,0.04666666666666666,0.13833333333333334,0.175,0.39375000000000004,-0.10945,-0.16417500000000002
11,2020,Putin,30,16,20,0.011515151515151522,0.24505050505050502,0.0215909090909091,0.42405303030303027,-0.13249333333333332,-0.19874
