month,year,topic,batchLength,textBlobAdjustedLength,vaderAdjustedLength,meanPolarity,meanSubjectivity,meanAdjustedPolarity,meanAdjustedSubjectivity,meanVaderPolarity,meanAdjustedVaderPolarity
1,2020,Facebook,30,13,23,0.05964646464646465,0.19363636363636363,0.13764568764568766,0.4314685314685314,-0.09624666666666665,-0.1255391304347826
2,2020,Facebook,30,8,16,0.0685016835016835,0.15099326599326598,0.2568813131313131,0.4891414141414141,0.02181333333333335,0.040900000000000034
3,2020,Facebook,30,9,18,-0.029768518518518524,0.1950462962962963,-0.09922839506172841,0.4557098765432099,0.014950000000000007,0.024916666666666677
4,2020,Facebook,30,11,9,0.026220538720538714,0.17136784511784509,0.07151056014692377,0.40638200183654727,-0.023356666666666668,-0.07785555555555555
5,2020,Facebook,30,15,19,0.029078282828282835,0.238219696969697,0.05815656565656567,0.4497727272727273,-0.03238333333333333,-0.051131578947368424
6,2020,Facebook,30,9,19,-0.08333333333333334,0.31777777777777777,-0.27777777777777785,0.6481481481481481,-0.11035333333333334,-0.17424210526315792
7,2020,Facebook,30,10,15,-0.0650354737854738,0.2444113756613757,-0.19510642135642137,0.613234126984127,-0.05109333333333334,-0.10218666666666668
8,2020,Facebook,30,10,17,-0.008602693602693608,0.15857744107744107,-0.025808080808080825,0.3757323232323232,-0.12091000000000002,-0.21337058823529415
9,2020,Facebook,30,12,21,0.005802068302068297,0.20827320827320828,0.014505170755170743,0.4665163540163541,-0.18697333333333332,-0.2671047619047619
10,2020,Facebook,30,13,18,0.06413019079685747,0.17088664421997754,0.14799274799274803,0.3558922558922558,-0.06567666666666667,-0.10946111111111112
11,2020,Facebook,30,8,19,-0.03295454545454546,0.2168181818181818,-0.12357954545454547,0.6755681818181818,-0.18640333333333334,-0.294321052631579
12,2020,Facebook,30,6,20,-0.03017676767676768,0.07820707070707071,-0.1508838383838384,0.3910353535353535,-0.13042333333333336,-0.19563500000000003
1,2020,Amazon,30,9,26,-0.03285774410774411,0.1429587542087542,-0.10952581369248036,0.4570847362514029,-0.007750000000000023,-0.00894230769230772
2,2020,Amazon,30,15,29,0.06210497835497835,0.25546897546897546,0.1242099567099567,0.44427128427128426,0.12203666666666671,0.12624482758620695
3,2020,Amazon,30,15,30,0.05011784511784512,0.25057659932659937,0.10023569023569023,0.4278198653198653,0.18904666666666672,0.18904666666666672
4,2020,Amazon,30,11,29,0.0452020202020202,0.1603030303030303,0.12327823691460055,0.43719008264462816,0.15032000000000006,0.15550344827586213
5,2020,Amazon,30,11,29,0.016590909090909094,0.1914141414141414,0.04524793388429753,0.4765840220385675,0.10318333333333332,0.1067413793103448
6,2020,Amazon,30,15,28,0.03690025252525253,0.21323232323232322,0.07380050505050506,0.42646464646464644,0.10872000000000005,0.11648571428571433
7,2020,Amazon,30,9,30,0.05751683501683501,0.21261784511784512,0.19172278338945004,0.5865039281705948,0.26651333333333344,0.26651333333333344
8,2020,Amazon,30,11,27,0.03592171717171718,0.22001683501683503,0.09796831955922868,0.5909550045913682,0.21148000000000003,0.2349777777777778
9,2020,Amazon,30,12,29,0.024810606060606043,0.19932239057239054,0.06202651515151511,0.49830597643097635,0.1760933333333334,0.1821655172413794
10,2020,Amazon,30,12,28,0.1437121212121212,0.20223484848484843,0.35928030303030306,0.4347537878787879,0.21847000000000005,0.23407500000000006
11,2020,Amazon,30,18,27,0.03031986531986532,0.3050968013468013,0.0505331088664422,0.39182800224466885,0.15528000000000003,0.17253333333333337
12,2020,Amazon,30,8,29,0.05035858585858586,0.15744444444444441,0.18884469696969697,0.5289583333333333,0.2342800000000001,0.24235862068965527
1,2020,Google,30,12,17,0.0958618326118326,0.22308838383838386,0.23965458152958152,0.516054292929293,-0.008179999999999993,-0.014435294117647046
2,2020,Google,30,14,17,0.07579966329966331,0.23445286195286197,0.16242784992784995,0.35061327561327554,0.00893,0.015758823529411766
3,2020,Google,30,15,21,0.04287352693602694,0.24761039886039887,0.08574705387205388,0.49009259259259264,0.010293333333333337,0.014704761904761908
4,2020,Google,30,12,19,0.06023809523809523,0.18886243386243387,0.1505952380952381,0.4638227513227513,0.11367,0.17947894736842104
5,2020,Google,30,9,15,-0.007904040404040405,0.14244949494949494,-0.026346801346801348,0.3637205387205388,-0.060073333333333326,-0.12014666666666665
6,2020,Google,30,10,17,-0.011883116883116884,0.20114357864357862,-0.03564935064935065,0.3109307359307359,-0.029813333333333327,-0.052611764705882344
7,2020,Google,30,11,13,0.05506313131313133,0.18845117845117845,0.15017217630854,0.49123048668503216,0.04203333333333333,0.09699999999999999
8,2020,Google,30,9,15,0.014739057239057237,0.16715488215488214,0.04913019079685746,0.43310886644219976,-0.046903333333333325,-0.09380666666666665
9,2020,Google,30,8,15,0.0445959595959596,0.09494949494949495,0.1672348484848485,0.34356060606060607,0.0584,0.1168
10,2020,Google,30,14,19,0.05990620490620491,0.2670815295815296,0.1283704390847248,0.5508889919604205,-0.00021999999999999613,-0.00034736842105262546
11,2020,Google,30,12,18,0.0725252525252525,0.20267676767676765,0.1813131313131313,0.43030303030303035,-0.0017666666666666757,-0.0029444444444444596
12,2020,Google,30,19,20,0.019146464646464655,0.3438459595959596,0.030231259968102088,0.542914673046252,-0.036390000000000006,-0.05458500000000001
1,2020,Apple,30,12,19,0.06785353535353536,0.2224747474747475,0.1696338383838384,0.4360479797979799,-0.03928333333333335,-0.062026315789473714
2,2020,Apple,30,8,13,0.014267676767676766,0.1434385521885522,0.05350378787878787,0.3816445707070707,-0.1206766666666667,-0.27848461538461544
3,2020,Apple,30,14,10,0.06766414141414141,0.15851010101010096,0.14499458874458873,0.31109307359307353,0.004849999999999997,0.01454999999999999
4,2020,Apple,30,12,11,0.10873737373737374,0.19653198653198656,0.27184343434343433,0.42049663299663304,0.06376,0.1738909090909091
5,2020,Apple,30,13,8,0.13386363636363635,0.2874494949494949,0.3089160839160839,0.5774475524475524,-0.018060000000000003,-0.06772500000000001
6,2020,Apple,30,7,10,0.011111111111111108,0.15555555555555553,0.04761904761904761,0.5523809523809524,-0.09129999999999999,-0.2739
7,2020,Apple,30,13,19,0.09992424242424242,0.19974747474747476,0.23059440559440558,0.35069930069930066,0.025636666666666655,0.04047894736842104
8,2020,Apple,30,16,14,0.08056818181818183,0.25740319865319866,0.15106534090909093,0.45138099747474747,0.01674,0.035871428571428575
9,2020,Apple,30,16,14,0.08264430014430015,0.2898268398268398,0.15495806277056276,0.5371753246753247,0.07787666666666665,0.1668785714285714
10,2020,Apple,30,10,15,0.10147907647907647,0.17995670995670995,0.3044372294372294,0.4132034632034632,0.07428666666666665,0.1485733333333333
11,2020,Apple,30,14,14,0.1201178451178451,0.2045286195286195,0.25739538239538234,0.4311327561327561,0.06267333333333333,0.1343
12,2020,Apple,30,17,12,0.1403560606060606,0.29240909090909084,0.24768716577540104,0.508663101604278,0.05157333333333334,0.12893333333333334
1,2020,Microsoft,30,10,16,-0.0774179292929293,0.19528409090909088,-0.2322537878787879,0.5333522727272727,-0.03192666666666666,-0.059862499999999985
2,2020,Microsoft,30,17,13,0.05223484848484849,0.20467171717171714,0.09217914438502674,0.35530303030303023,-0.01282666666666667,-0.029600000000000008
3,2020,Microsoft,30,17,14,0.04256012506012504,0.2620214045214045,0.07510610304727948,0.44474365503777274,-0.06710666666666668,-0.1438
4,2020,Microsoft,30,10,12,0.0041883116883116855,0.17852453102453103,0.012564935064935057,0.49557359307359306,0.11177333333333332,0.2794333333333333
5,2020,Microsoft,30,13,12,0.08039015151515151,0.22673106060606057,0.18551573426573426,0.5155332167832167,0.032876666666666665,0.08219166666666666
6,2020,Microsoft,30,10,16,0.026052188552188552,0.13620791245791247,0.07815656565656566,0.3711237373737374,0.15535333333333334,0.29128750000000003
7,2020,Microsoft,30,16,15,0.03575757575757576,0.2550252525252525,0.06704545454545455,0.41619318181818177,0.017853333333333332,0.035706666666666664
8,2020,Microsoft,30,10,11,0.040795454545454544,0.19708333333333336,0.12238636363636364,0.4600000000000001,0.04667333333333333,0.1272909090909091
9,2020,Microsoft,30,12,12,0.09803030303030304,0.2162121212121212,0.24507575757575759,0.4571969696969696,-0.005823333333333334,-0.014558333333333335
10,2020,Microsoft,30,13,15,0.022474747474747474,0.2256565656565657,0.051864801864801864,0.4226689976689977,0.05297666666666667,0.10595333333333334
11,2020,Microsoft,30,14,13,0.06882996632996632,0.26208754208754204,0.14749278499278498,0.5437590187590188,0.00672666666666667,0.01552307692307693
12,2020,Microsoft,30,16,13,0.15113636363636365,0.31573232323232325,0.2833806818181818,0.5919981060606061,0.12862666666666667,0.29683076923076923
1,2020,Alibaba,30,14,18,0.061363636363636356,0.2431565656565656,0.13149350649350647,0.4156926406926406,0.17034000000000002,0.28390000000000004
2,2020,Alibaba,30,10,15,0.018434343434343445,0.1925,0.05530303030303033,0.5650000000000001,0.016143333333333326,0.03228666666666665
3,2020,Alibaba,30,7,12,0.06472222222222222,0.15,0.2773809523809524,0.4309523809523809,0.040253333333333335,0.10063333333333334
4,2020,Alibaba,30,7,12,0.03563762626262626,0.10781986531986533,0.15273268398268397,0.3727994227994228,0.05830666666666666,0.14576666666666666
5,2020,Alibaba,30,10,15,0.08189033189033189,0.2091053391053391,0.24567099567099565,0.5573160173160172,0.04414333333333334,0.08828666666666668
6,2020,Alibaba,30,7,13,0.0058379629629629615,0.06325925925925927,0.025019841269841265,0.27111111111111114,0.09301000000000001,0.21463846153846156
7,2020,Alibaba,30,10,12,0.048943602693602685,0.1829755892255892,0.14683080808080806,0.43226010101010104,0.11492333333333334,0.28730833333333333
8,2020,Alibaba,30,8,14,0.05324915824915825,0.1378367003367003,0.19968434343434344,0.41480429292929294,0.11807666666666666,0.25302142857142856
9,2020,Alibaba,30,9,9,0.0957070707070707,0.17717171717171717,0.319023569023569,0.572053872053872,0.02493333333333333,0.08311111111111111
10,2020,Alibaba,30,8,15,-0.004393939393939395,0.08896464646464648,-0.016477272727272733,0.32736742424242427,0.12860333333333332,0.25720666666666664
11,2020,Alibaba,30,7,7,-0.021111111111111115,0.16500000000000004,-0.09047619047619049,0.4928571428571428,0.08072666666666667,0.3459714285714286
12,2020,Alibaba,30,10,9,0.028333333333333332,0.17388888888888893,0.08499999999999999,0.5216666666666667,-0.00848333333333333,-0.028277777777777766
1,2020,Tencent,30,10,12,0.024767015392015392,0.15579304954304957,0.07430104617604619,0.46737914862914864,0.07763999999999999,0.19409999999999997
2,2020,Tencent,30,8,14,0.032272727272727265,0.11590909090909092,0.12102272727272725,0.3596590909090909,0.06159666666666667,0.13199285714285716
3,2020,Tencent,30,8,10,-0.003636363636363636,0.108989898989899,-0.013636363636363634,0.39621212121212124,0.009883333333333333,0.02965
4,2020,Tencent,30,7,11,-0.041767676767676766,0.11116161616161616,-0.179004329004329,0.40497835497835494,0.09180666666666666,0.2503818181818182
5,2020,Tencent,30,9,13,0.05707828282828283,0.20277020202020202,0.19026094276094277,0.4370117845117845,0.04743666666666667,0.10946923076923078
6,2020,Tencent,30,8,12,0.021918710918710917,0.19004737854737855,0.08219516594516595,0.5533026695526696,0.07623333333333333,0.19058333333333333
7,2020,Tencent,30,13,9,0.018080808080808076,0.2562878787878788,0.04172494172494171,0.33245920745920743,0.03243,0.10810000000000002
8,2020,Tencent,30,12,17,0.018846801346801344,0.20030723905723902,0.04711700336700336,0.30910143097643095,-0.06978999999999999,-0.12315882352941175
9,2020,Tencent,30,6,15,-0.037929292929292924,0.11310606060606061,-0.18964646464646462,0.41969696969696973,-0.11330666666666667,-0.22661333333333333
10,2020,Tencent,30,9,8,0.004861111111111109,0.1733333333333333,0.016203703703703696,0.4666666666666667,0.018320000000000003,0.06870000000000001
11,2020,Tencent,30,9,14,0.05232323232323231,0.15987373737373736,0.17441077441077438,0.519023569023569,0.08877000000000003,0.19022142857142862
12,2020,Tencent,30,11,15,0.029183501683501686,0.15537037037037038,0.07959136822773187,0.36313131313131314,0.05737,0.11474
