month,year,topic,batchLength,textBlobAdjustedLength,vaderAdjustedLength,meanPolarity,meanSubjectivity,meanAdjustedPolarity,meanAdjustedSubjectivity,meanVaderPolarity,meanAdjustedVaderPolarity
1,2020,Vaccine,50,22,27,0.03852191919191919,0.20483565656565655,0.08754981634527088,0.4450810376492196,-0.009102000000000006,-0.016855555555555568
2,2020,Vaccine,50,14,25,0.013179653679653675,0.1486055611055611,0.04707019171304884,0.4538110698824985,-0.034536,-0.069072
3,2020,Vaccine,50,17,17,0.02322727272727272,0.20525757575757575,0.06831550802139036,0.41546345811051694,0.07717,0.22697058823529415
4,2020,Vaccine,50,15,19,0.0603344155844156,0.1827813852813853,0.2011147186147187,0.5048268398268398,0.02033400000000001,0.053510526315789494
5,2020,Vaccine,50,20,19,0.08490909090909088,0.28539393939393937,0.21227272727272722,0.4751515151515152,0.10747200000000003,0.28282105263157903
6,2020,Vaccine,50,21,21,0.03855555555555555,0.24638888888888885,0.0917989417989418,0.3882275132275132,0.022606,0.05382380952380953
7,2020,Vaccine,50,26,36,0.058045454545454546,0.17804797979797984,0.11162587412587413,0.34239996114996124,0.073574,0.10218611111111112
8,2020,Vaccine,50,20,29,0.08763636363636364,0.23417676767676768,0.2190909090909091,0.4804419191919192,0.09826799999999998,0.16942758620689652
9,2020,Vaccine,50,22,23,0.08002525252525253,0.25470202020202015,0.18187557392102846,0.4576561065197429,0.08135200000000001,0.1768521739130435
10,2020,Vaccine,50,16,27,0.05562962962962963,0.18659259259259262,0.1738425925925926,0.46122685185185175,0.011545999999999999,0.021381481481481477
11,2020,Vaccine,50,25,28,0.0829242424242424,0.2712121212121213,0.1658484848484848,0.49975757575757584,0.10466400000000001,0.1869
12,2020,Vaccine,50,15,27,0.045680303030303036,0.16218333333333335,0.15226767676767677,0.46727777777777774,0.10623,0.19672222222222224
