month,year,topic,batchLength,textBlobAdjustedLength,vaderAdjustedLength,meanPolarity,meanSubjectivity,meanAdjustedPolarity,meanAdjustedSubjectivity,meanVaderPolarity,meanAdjustedVaderPolarity
11,2019,Coronavirus,50,22,28,-0.01163419913419913,0.286991341991342,-0.026441361668634387,0.5507378984651713,-0.13834400000000002,-0.24704285714285718
12,2019,Coronavirus,39,16,18,0.08909382284382283,0.2499067599067599,0.21716619318181815,0.5403977272727273,0.05804358974358973,0.1257611111111111
1,2020,Coronavirus,50,20,25,0.06497878787878789,0.265361038961039,0.1624469696969697,0.5505454545454546,-0.10068400000000001,-0.20136800000000002
2,2020,Coronavirus,50,14,29,0.03537878787878788,0.1484090909090909,0.12635281385281386,0.4550324675324675,-0.16997200000000004,-0.29305517241379314
3,2020,Coronavirus,50,21,30,0.03925974025974025,0.26555952380952375,0.0934755720470006,0.5370464852607709,0.05562799999999998,0.0927133333333333
4,2020,Coronavirus,50,18,20,0.013776767676767679,0.20393535353535353,0.03826879910213244,0.4817648709315375,-0.067542,-0.16885500000000003
5,2020,Coronavirus,50,19,34,0.047655194805194805,0.1779238095238095,0.12540840738209158,0.4576942355889724,-0.14810600000000002,-0.21780294117647062
6,2020,Coronavirus,50,26,23,0.11990187590187591,0.29994011544011545,0.2305805305805306,0.4867438117438117,0.01846,0.0401304347826087
7,2020,Coronavirus,50,16,24,0.06462987012987013,0.2152662337662338,0.20196834415584416,0.5039569805194805,-0.046176000000000016,-0.09620000000000002
8,2020,Coronavirus,50,16,23,0.04245454545454544,0.23745800865800862,0.1326704545454545,0.49268127705627707,-0.031672000000000006,-0.06885217391304348
9,2020,Coronavirus,50,14,21,0.05157359307359308,0.1564184704184704,0.18419140383426097,0.4431612038754896,-0.036168,-0.08611428571428571
10,2020,Coronavirus,50,23,30,0.03697575757575758,0.24031464646464648,0.08038208168642953,0.4832927097057532,0.007793999999999998,0.012989999999999996
11,2020,Coronavirus,50,23,34,0.11860497835497835,0.24791341991341992,0.2578369094673442,0.4987248258987389,0.0035180000000000033,0.0051735294117647105
12,2020,Coronavirus,51,33,29,0.09218954248366015,0.2919162210338682,0.1424747474747475,0.4511432506887054,-0.030552941176470592,-0.05373103448275863
