title,media,date,datetime,desc,link,img,textBlob polarity,textBlob subjectivity,vader polarity
Furlough Scheme Extended and Further Economic Support ...,GOV.UK,"Oct 31, 2020",2020-10-31,The Coronavirus Job Retention Scheme has been extended for a month with employees receiving 80% of their current salary for hours not worked and further ...,https://www.gov.uk/government/news/furlough-scheme-extended-and-further-economic-support-announced,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",0.1,0.35,0.4019
"Coronavirus: Make haste, but slowly, as Singapore moves ...",The Straits Times,"Oct 31, 2020",2020-10-31,"Coronavirus: Make haste, but slowly, as Singapore moves ahead into phase 3. Having endured months of restrictions, everyone wants to move on, but a nasty, ...",https://www.straitstimes.com/opinion/make-haste-but-slowly-as-we-move-ahead-into-phase-3,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",-0.30000000000000004,0.39999999999999997,0.0
Football: Cristiano Ronaldo recovers from coronavirus after 19 ...,The Straits Times,"Oct 31, 2020",2020-10-31,"MILAN (AFP) - Juventus star Cristiano Ronaldo has tested negative for coronavirus after nearly three weeks, the club confirmed on Friday (Oct 30). Ronaldo first ...",https://www.straitstimes.com/sport/football/football-cristiano-ronaldo-tested-negative-for-coronavirus-juventus-says,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",0.0,0.0,0.0
Coronavirus (COVID-19): guidance on reducing the risks in ...,,"Oct 30, 2020",2020-10-30,Non-statutory guidance to ensure a safe and supportive environment for learning and teaching during the coronavirus pandemic.,https://www.gov.scot/publications/coronavirus-covid-19-guidance-on-reducing-the-risks-in-schools/,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",0.0,0.0,-0.2732
"Japan tops 100000 coronavirus cases, daily infections creep up",The Straits Times,"Oct 30, 2020",2020-10-30,"The number of people infected with the coronavirus in Japan has come to 100,516, including those who contracted the virus aboard the Diamond Princess ...",https://www.straitstimes.com/asia/east-asia/japan-tops-100000-coronavirus-cases-daily-infections-creep-up,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",0.0,0.0,0.5106
Indonesia scours the globe to secure coronavirus vaccines for ...,The Straits Times,"Oct 30, 2020",2020-10-30,"From China to the United Arab Emirates to Britain, Indonesia has been scouring the world for potential vaccines against the coronavirus while ramping up local ...",https://www.straitstimes.com/asia/se-asia/indonesia-scours-the-globe-to-secure-coronavirus-vaccines-for-vast-population,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",0.4,0.6,0.34
Coronavirus: Relaxing curbs Arts venues among places that ...,The Straits Times,"Oct 29, 2020",2020-10-29,"Coronavirus: Relaxing curbs Arts venues among places that can host live performances from Nov 1. Other spots include community centres and hotel ballrooms, ...",https://www.straitstimes.com/singapore/community/coronavirus-relaxing-curbs-arts-venues-among-places-that-can-host-live,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",0.0,0.0,0.4939
"Marshall Islands records first coronavirus cases, Australia/NZ News & Top Stories",The Straits Times,"Oct 29, 2020",2020-10-29,The Marshalls government announced late Wednesday (Oct 28) that two workers at a US Army garrison on Kwajalein Atoll had tested positive for coronavirus ...,https://www.straitstimes.com/asia/australianz/marshall-islands-records-first-coronavirus-cases,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",0.375,0.41666666666666663,0.2023
Scientists identify prolific coronavirus strain,The Business Times,"Oct 29, 2020",2020-10-29,[FRANKFURT] A coronavirus strain that emerged in Spain in June has spread across Europe and now makes up a large proportion of infections in several ...,https://www.businesstimes.com.sg/technology/scientists-identify-prolific-coronavirus-strain,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",0.0,0.0,-0.0516
America Is About to Choose How Bad the Pandemic Will Get,The Atlantic,"Oct 28, 2020",2020-10-28,"If Donald Trump is reelected, he will continue to downplay the threat of the coronavirus, and more Americans will fall ill. Ed Yong. October 28, 2020. The shape of a ...",https://www.theatlantic.com/health/archive/2020/10/coronavirus-election/616884/,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",-0.6999999999999998,0.6666666666666666,-0.5423
