title,media,date,datetime,desc,link,img,textBlob polarity,textBlob subjectivity,vader polarity
Top news,CNA,,,,https://www.channelnewsasia.com/news/world/eu-begins-vaccine-roll-out-as-new-coronavirus-variant-spreads-13844728,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",0.5,0.5,0.2023
By the numbers,The Guardian,,,,https://www.theguardian.com/world/2020/dec/22/coronavirus-uk-covid-cases-and-deaths-today,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",0.0,0.0,0.0
Thai seafood market cluster grows; Japan to ban foreign entries,South China Morning Post,36 mins ago,2020-12-26 21:56:34.409465,"More than 1,500 infections have been linked to the seafood centre outbreak since last week, the majority of those migrant workers from Myanmar; Tokyo will ban ...",https://www.scmp.com/news/asia/east-asia/article/3115403/coronavirus-thailand-records-110-new-cases-seafood-market,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",-0.125,0.125,-0.5574
Spain receives first batch of COVID-19 vaccine,CNA,4 hours ago,2020-12-26 18:32:34.946280,"People wearing face masks sit at the terrace of the Les Quinze Nits restaurant on Real square, after Spain's Catalonia region allowed bars, restaurants, gyms ...",https://www.channelnewsasia.com/news/world/spain-receives-1st-batch-of-coronavirus-vaccine-13844994,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",0.25,0.3333333333333333,0.0
"South Korea logs second-highest daily tally of COVID-19 cases amid prison, church outbreaks",CNA,9 hours ago,2020-12-26 13:32:34.402465,"People queue in line to wait for coronavirus testing while maintaining social distancing at coronavirus testing site in Seoul, South Korea, Saturday, Dec 26, 2020.",https://www.channelnewsasia.com/news/asia/south-korea-covid-19-cases-remain-high-as-restrictions-loom-13844428,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",0.0,0.0,-0.5106
"Thailand confirms 110 new COVID-19 infections, including 64 cases linked to country's worst virus outbreak",CNA,9 hours ago,2020-12-26 13:32:34.395465,"Thailand on Saturday confirmed 110 new coronavirus infections, of which 64 were local infections, connected to an outbreak in the southwest ...",https://www.channelnewsasia.com/news/asia/thailand-confirms-110-new-covid-19-infections-dec-26-13844476,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",-0.4318181818181818,0.7272727272727273,-0.6249
Five things Asia needs to know about new coronavirus variant,Nikkei Asia,11 hours ago,2020-12-26 11:32:34.934279,"TOKYO -- Just as the world was beginning to hope for a resumption of travel and other pre-pandemic activities, thanks to the rollout of coronavirus va.",https://asia.nikkei.com/Spotlight/Coronavirus/Five-things-Asia-needs-to-know-about-new-coronavirus-variant,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",0.13636363636363635,0.45454545454545453,0.0
China plans cold-chain bridge to ship and distribute vaccines to Africa,South China Morning Post,12 hours ago,2020-12-26 10:32:34.943303,Beijing's 'donation diplomacy' seen as an attempt to gain credibility and political capital around the world.,https://www.scmp.com/news/china/diplomacy/article/3115356/coronavirus-china-plans-cold-chain-bridge-ship-and-distribute,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",0.0,0.0,0.0
France confirms first case on its soil of British coronavirus variant,The Straits Times,12 hours ago,2020-12-26 10:32:34.405465,The French citizen is asymptomatic and self-isolating at home.. Read more at straitstimes.com.,https://www.straitstimes.com/world/europe/france-confirms-first-case-on-its-soil-of-british-coronavirus-variant,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",0.125,0.16666666666666666,0.0
"Coronavirus: Week of Dec. 20 to Dec. 26, Saudi crown prince takes COVID-19 vaccine",Nikkei Asia,12 hours ago,2020-12-26 10:32:34.399466,"Nikkei Asia is tracking the spread of the new coronavirus that originated in the central Chinese city of Wuhan.Global cases have reached 79793342, a.",https://asia.nikkei.com/Spotlight/Coronavirus/Coronavirus-Free-to-read/Coronavirus-Week-of-Dec.-20-to-Dec.-26-Saudi-crown-prince-takes-COVID-19-vaccine,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",0.0,0.0,0.0
Coronavirus visa uncertainty turns foreign students against China,South China Morning Post,16 hours ago,2020-12-26 06:32:34.392465,Hundreds of thousands of foreign students – many from developing countries – who left China in the first wave of the. coronavirus pandemic. are facing hardship ...,https://www.scmp.com/news/china/diplomacy/article/3115244/coronavirus-visa-uncertainty-turns-foreign-students-against,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",-0.125,0.125,-0.34
