title,media,date,datetime,desc,link,img,textBlob polarity,textBlob subjectivity,vader polarity
Coronavirus: Patients went to Don Don Donki outlets in 100 ...,The Straits Times,"May 30, 2020",2020-05-30,Coronavirus: Patients went to Don Don Donki outlets in 100 AM mall and Jem; MOH says prison cases are not a cluster. Shoppers being checked for their ...,https://www.straitstimes.com/singapore/health/coronavirus-patients-went-to-don-don-donki-outlets-in-100-am-mall-and-jem-moh-says,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",0.0,0.0,0.0
Coronavirus Antibody Testing Shows Lower Fatality Rate For Infection : Shots - Health News,NPR,"May 28, 2020",2020-05-28,Mounting evidence suggests the coronavirus is more common and less deadly than it first appeared. The evidence comes from tests that detect antibodies to the ...,https://www.npr.org/sections/health-shots/2020/05/28/863944333/antibody-tests-point-to-lower-death-rate-for-the-coronavirus-than-first-thought,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",0.0,0.0,-0.7717
"Coronavirus may never go away, even with a vaccine",Washington Post,"May 27, 2020",2020-05-27,"It is a daunting proposition — a coronavirus-tinged world without a foreseeable end. But experts in epidemiology, disaster planning and vaccine development ...",https://www.washingtonpost.com/health/2020/05/27/coronavirus-endemic/,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",0.0,0.0,0.0
"Coronavirus: Car sales can be conducted safely, says trade ...",The Straits Times,"May 25, 2020",2020-05-25,"Coronavirus: Car sales can be conducted safely, says trade association. It said strict appointment-based viewing and test drives with safe distancing measures ...",https://www.straitstimes.com/singapore/transport/coronavirus-car-sales-can-be-conducted-safely-says-trade-association,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",0.5,0.5,0.4939
"Coronavirus: Week of May 17 to May 23, China reports zero ...",Nikkei Asian Review,"May 23, 2020",2020-05-23,The Nikkei Asian Review is tracking the spread of the new coronavirus that originated in the central Chinese city of Wuhan. Follow the latest updates.,https://asia.nikkei.com/Spotlight/Coronavirus/Coronavirus-Free-to-read/Coronavirus-Week-of-May-17-to-May-23-China-reports-zero-new-cases,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",0.0,0.0,0.0
77 Nobel Laureates Denounce Trump Officials For Pulling ...,NPR,"May 22, 2020",2020-05-22,... federal grant to a U.S. non-profit that was researching coronaviruses in China. ... the way that coronavirus research is conducted have discounted the accident ...,https://www.npr.org/sections/goatsandsoda/2020/05/22/861299458/77-nobel-laureates-denounce-trump-officials-for-pulling-coronavirus-research-gra,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",0.0,0.0,-0.34
Study estimates 24 states still have uncontrolled coronavirus spread,Washington Post,"May 22, 2020",2020-05-22,"The coronavirus may still be spreading at epidemic rates in 24 states, particularly in the South and Midwest, according to new research that highlights the risk of ...",https://www.washingtonpost.com/health/study-estimates-24-states-still-have-uncontrolled-coronavirus-spread/2020/05/22/d3032470-9c43-11ea-ac72-3841fcc9b35f_story.html,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",0.0,0.0,-0.25
"Coronavirus: S'pore's survival and existence at stake, draw on ...",The Straits Times,"May 22, 2020",2020-05-22,"Coronavirus: S'pore's survival and existence at stake, draw on reserves needed to take care of people, says President. The ...",https://www.straitstimes.com/singapore/coronavirus-spores-survival-and-existence-at-stake-draw-on-reserves-needed-to-take-care-of,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",-0.25,1.0,0.0
Coronavirus: More activities for seniors to resume from June 2 ...,The Straits Times,"May 22, 2020",2020-05-22,Coronavirus: More activities for seniors to resume from June 2 for their psycho-social well-being. Activities will be limited ...,https://www.straitstimes.com/singapore/coronavirus-more-activities-for-seniors-to-resume-from-june-2-for-their-psychosocial-well,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",0.5,0.5,0.0
Coronavirus (COVID-19) Update: FDA Provides Promised ...,,"May 21, 2020",2020-05-21,Coronavirus (COVID-19) Update: FDA Provides Promised Transparency for Antibody Tests. Share · Tweet · Linkedin · Email ...,https://www.fda.gov/news-events/press-announcements/coronavirus-covid-19-update-fda-provides-promised-transparency-antibody-tests,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",0.0,0.0,0.3612
Coronavirus (COVID-19) Update: Daily Roundup May 21 ...,,"May 21, 2020",2020-05-21,"The U.S. Food and Drug Administration today announced the following actions taken in its ongoing response effort to the COVID-19 pandemic: Today, the FDA ...",https://www.fda.gov/news-events/press-announcements/coronavirus-covid-19-update-daily-roundup-may-21-2020,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",0.0,0.0,0.0
