month,year,topic,batchLength,textBlobAdjustedLength,vaderAdjustedLength,meanPolarity,meanSubjectivity,meanAdjustedPolarity,meanAdjustedSubjectivity,meanVaderPolarity,meanAdjustedVaderPolarity
1,2018,Biden,50,18,30,0.03365079365079365,0.231452380952381,0.09347442680776014,0.42486772486772484,-0.09112000000000002,-0.1518666666666667
2,2018,Biden,50,19,23,0.09236507936507936,0.22323015873015875,0.2430659983291562,0.4295530492898913,0.07589600000000002,0.16499130434782613
3,2018,Biden,50,19,25,0.0017055555555555546,0.1860203703703704,0.004488304093567249,0.4817202729044834,-0.12048400000000001,-0.24096800000000002
4,2018,Biden,50,17,27,0.049162878787878776,0.15984848484848485,0.14459670231729052,0.4544563279857398,0.037951999999999986,0.07028148148148146
5,2018,Biden,50,17,32,0.05072727272727273,0.19578535353535353,0.14919786096256685,0.5721628045157457,0.06863999999999998,0.10724999999999996
6,2018,Biden,50,24,38,0.0683030303030303,0.26857575757575763,0.14229797979797978,0.49911616161616174,0.011118000000000001,0.014628947368421054
7,2018,Biden,50,9,32,0.0267979797979798,0.09353823953823955,0.1488776655443322,0.5011383678050345,0.09157,0.143078125
8,2018,Biden,50,15,32,0.029500000000000002,0.139,0.09833333333333334,0.3766666666666667,0.11021199999999999,0.17220624999999998
9,2018,Biden,50,16,32,0.048053030303030306,0.15728787878787875,0.1501657196969697,0.48371212121212115,-0.06407800000000001,-0.10012187500000001
10,2018,Biden,50,16,33,0.08831902356902357,0.18134259259259258,0.2759969486531987,0.46825810185185185,0.053918,0.08169393939393939
11,2018,Biden,50,21,33,0.022806818181818178,0.24018939393939395,0.054301948051948046,0.4766414141414141,0.2071299999999999,0.3138333333333332
12,2018,Biden,50,20,18,0.10054419191919191,0.23394823232323234,0.25136047979797976,0.5065372474747475,0.036584,0.10162222222222222
1,2019,Biden,50,20,28,0.054175324675324675,0.24741774891774898,0.1354383116883117,0.4335443722943723,0.05600000000000001,0.1
2,2019,Biden,50,17,25,0.0007247474747474769,0.15493181818181814,0.00213161021984552,0.36401515151515146,0.047178000000000005,0.09435600000000001
3,2019,Biden,50,19,30,0.04024300144300144,0.22058593073593077,0.1059026353763196,0.47763841421736153,0.033278,0.05546333333333333
4,2019,Biden,50,17,25,0.0696590909090909,0.2555469696969697,0.204879679144385,0.6449420677361855,0.022216000000000003,0.044432000000000006
5,2019,Biden,50,17,35,0.00026551226551226325,0.23795382395382395,0.0007809184279772449,0.5465962142432731,-0.07873000000000001,-0.11247142857142857
6,2019,Biden,50,21,27,-0.014061688311688313,0.19856818181818184,-0.033480210265924557,0.41563852813852825,-0.08953000000000001,-0.16579629629629633
7,2019,Biden,50,22,28,0.016805555555555553,0.18799999999999997,0.03819444444444444,0.38787878787878793,-0.05101400000000001,-0.09109642857142859
8,2019,Biden,50,24,32,0.04375252525252526,0.29779942279942273,0.09115109427609429,0.538867845117845,-0.11455200000000001,-0.17898750000000002
9,2019,Biden,50,12,26,-0.019296536796536798,0.14630519480519483,-0.08040223665223666,0.5179383116883117,-0.09187600000000001,-0.1766846153846154
10,2019,Biden,50,13,22,0.027444444444444435,0.10888888888888885,0.10555555555555553,0.40598290598290593,-0.008999999999999998,-0.020454545454545447
11,2019,Biden,50,15,29,0.019916666666666666,0.16258333333333333,0.06638888888888889,0.4841666666666667,-0.084048,-0.1449103448275862
12,2019,Biden,50,17,28,0.09440584415584415,0.19060281385281386,0.27766424751718866,0.4723612172141584,0.02727199999999998,0.048699999999999966
1,2020,Biden,50,20,34,0.013840909090909086,0.18163636363636365,0.03460227272727272,0.4540909090909091,-0.06459,-0.09498529411764706
2,2020,Biden,50,30,35,0.1038191919191919,0.2870656565656565,0.1730319865319865,0.4617760942760943,0.03211799999999999,0.04588285714285712
3,2020,Biden,50,24,36,0.09853282828282829,0.27192424242424246,0.2052767255892256,0.5196338383838383,0.16055200000000003,0.22298888888888893
4,2020,Biden,50,24,34,0.12010606060606062,0.2607424242424242,0.25022095959595964,0.4946022727272726,-0.08917199999999999,-0.13113529411764704
5,2020,Biden,50,22,29,0.07391919191919193,0.26893434343434347,0.1679981634527089,0.5396235078053261,-0.11357400000000001,-0.19581724137931034
6,2020,Biden,50,16,20,0.03661616161616162,0.17611111111111113,0.11442550505050507,0.4513888888888889,0.046836,0.11709
7,2020,Biden,50,15,18,0.018419191919191922,0.1716982323232323,0.06139730639730641,0.5134385521885522,0.019343999999999993,0.05373333333333332
8,2020,Biden,50,21,28,0.031862626262626266,0.2028065656565657,0.07586339586339588,0.4336664261664262,0.04222600000000001,0.07540357142857144
9,2020,Biden,50,19,35,0.0005969696969696991,0.17347878787878787,0.0015709728867623661,0.43722488038277507,-0.042069999999999996,-0.0601
10,2020,Biden,50,19,26,0.011198051948051948,0.24498845598845598,0.029468557758031443,0.5026011999696209,0.017012000000000003,0.03271538461538462
