title,media,date,datetime,desc,link,img,textBlob polarity,textBlob subjectivity,vader polarity
Biden campaign cancels Texas event after Trump supporters surround bus on interstate,CNN,"Oct 31, 2020",2020-10-31,(CNN) President Donald Trump on Saturday night appeared to embrace the actions of supporters in Texas who surrounded a Joe Biden campaign bus in what a ...,https://www.cnn.com/2020/10/31/politics/biden-bus-2020-campaign-texas-trump-supporters/index.html,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",0.0,0.0,0.25
Vehicles flying Trump flags try to force a Biden-Harris campaign bus off a highway in Texas.,The New York Times,"Oct 31, 2020",2020-10-31,"AUSTIN, Texas — Multiple vehicles bearing Trump flags and signs surrounded a Biden-Harris campaign bus heading from San Antonio to Austin on Friday, ...",https://www.nytimes.com/2020/10/31/us/elections/vehicles-flying-trump-flags-try-to-force-a-biden-harris-campaign-bus-off-a-highway-in-texas.html,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",0.0,0.0,0.0
Trump and Biden battle for the Midwest as virus surges,CNN,"Oct 30, 2020",2020-10-30,"He argued that Biden and state officials, including Minnesota Attorney General Keith Ellison, have created two sets of standards — one for the protesters who ...",https://www.cnn.com/2020/10/30/politics/donald-trump-joe-biden-florida-2020-election/index.html,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",0.0,0.0,-0.3818
"Electoral College Map: Biden's Swing-State Edge, Trump's Path",NPR,"Oct 30, 2020",2020-10-30,"The final NPR Electoral College map analysis shows Democrat Joe Biden going into Election Day with the clear edge, while President Trump has a narrow but ...",https://www.npr.org/2020/10/30/929077049/final-npr-electoral-map-biden-has-the-edge-but-trump-retains-narrow-path,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",0.0,0.0,0.0
Here's what happened when NBC News tried to report on the alleged Hunter Biden emails,NBC News,"Oct 30, 2020",2020-10-30,"Analysis: Trump complains the media isn't reporting on Hunter Biden's emails. But NBC News met obstacles, including Rudy Giuliani, when it tried. Image: World ...",https://www.nbcnews.com/politics/2020-election/here-s-what-happened-when-nbc-news-tried-report-alleged-n1245533,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",-0.1,0.1,0.0
Why it has to be Biden,The Economist,"on · Oct 29, 2020",2020-10-29,America's election. Why it has to be Biden. Donald Trump has desecrated the values that make America a beacon to the world.,https://www.economist.com/leaders/2020/10/29/why-it-has-to-be-biden,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",0.0,0.0,0.0
CNN Poll: Biden continues to hold nationwide advantage in final days of 2020 race,CNN,"Oct 29, 2020",2020-10-29,"Although the election will ultimately be decided by the statewide results, which drive the Electoral College, Biden's lead nationally is wider than any presidential ...",https://www.cnn.com/2020/10/28/politics/cnn-poll-national-october/index.html,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",0.0,1.0,0.25
How Would Joe Biden Fight COVID-19? : Shots - Health News,NPR,"Oct 28, 2020",2020-10-28,But what would Biden do? Biden's campaign has a seven-point plan to beat COVID-19 and other proposals for health care and economic recovery that support ...,https://www.npr.org/sections/health-shots/2020/10/28/928392673/coronavirus-is-a-key-campaign-issue-whats-joe-biden-s-plan,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",0.0,0.0,-0.3818
Biden's polling lead adds to market fears the economy will need to wait until next year for stimulus,CNBC,"Oct 28, 2020",2020-10-28,"Joe Biden's polling lead in the presidential race complicates the issue. Investors worry that should the Democrat win, President Donald Trump would have little ...",https://www.cnbc.com/2020/10/28/bidens-polling-lead-adds-to-market-fears-the-economy-will-need-to-wait-until-next-year-for-stimulus.html,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",0.0,0.0,-0.4215
"8 days to go: Biden's lead over Trump is holding, while Clinton's was collapsing at this point",CNN,"on · Oct 26, 2020",2020-10-26,"By this point four years ago, he was rapidly closing the gap with Hillary Clinton. No such advancements can be seen in the 2020 polling against Biden. Right now, ...",https://www.cnn.com/2020/10/25/politics/biden-leads-trump-polling/index.html,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",0.0,0.0,-0.296
"Joe Biden visiting Wisconsin for 3rd time, a key swing state Hillary Clinton lost in 2016",ABC News,"Oct 26, 2020",2020-10-26,"Trump, Biden battle for Wisconsin. President Donald Trump and Democratic presidential nominee Joe Biden converge on Kenosha, Wisconsin, following the ...",https://abcnews.go.com/Politics/joe-biden-visiting-wisconsin-3rd-time-key-swing/story?id=73844601,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",0.0,0.5,-0.3182
"Biden rebounds to edge over Trump in Texas, as Hegar slightly narrows Cornynâ€™s lead in Senate race",The Dallas Morning News,"Oct 25, 2020",2020-10-25,"Biden's lead among likely voters is 48%-45%, within the poll's margin of error. In the Texas race for U.S. Senate, Republican incumbent John Cornyn lost a bit ...",https://www.dallasnews.com/news/politics/2020/10/25/biden-rebounds-to-edge-over-trump-in-texas-as-hegar-slightly-narrows-cornyns-lead-in-senate-race/,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",-0.16666666666666666,0.16666666666666666,0.0
Joe Biden makes the case for why he should be president,CBS News,"Oct 25, 2020",2020-10-25,But Joe Biden's running mate's record is less widely known. Kamala Harris has represented California in the U.S. Senate for almost four years. Norah O'Donnell: ...,https://www.cbsnews.com/news/joe-biden-democratic-presidential-candidate-kamala-harris-60-mintues-interview-norah-odonnell-2020-10-25/,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",0.0,0.0,0.0
Putin rejects Donald Trump's criticism of Biden family business,Reuters,"Oct 25, 2020",2020-10-25,"MOSCOW (Reuters) - Russian President Vladimir Putin said on Sunday that he saw nothing criminal in Hunter Biden's past business ties with Ukraine or Russia, ...",https://uk.reuters.com/article/us-usa-election-putin/putin-rejects-donald-trumps-criticism-of-biden-family-business-idUSKBN27A0TA,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",0.0,0.0,-0.7269
Joe Biden calls climate change the ‘number one issue facing humanity’,CNBC,"Oct 24, 2020",2020-10-24,Scientists say that Biden's transition plan is required to avoid the most catastrophic consequences of climate change. Climate change has fueled record-setting ...,https://www.cnbc.com/2020/10/24/joe-biden-climate-change-is-number-one-issue-facing-humanity.html,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",0.0,0.0,0.0
