title,media,date,datetime,desc,link,img,textBlob polarity,textBlob subjectivity,vader polarity
Trump’s latest pardons complete coverup of the Russia scandal,Washington Post,on · 1 day ago,2020-12-25 22:26:07.176529,"Up until now, many of President Trump's pardons — for war criminals, corrupt politicians and fraudsters of various types — have appeared mostly rooted in his ...",https://www.washingtonpost.com/opinions/2020/12/24/trumps-latest-pardons-complete-coverup-russia-scandal/,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",0.3,0.65,-0.1779
How Trump's pardons could get even more bizarre,CNN,on · 2 days ago,2020-12-24 22:26:09.184658,(CNN) President Donald Trump announced a wave of pardons on Tuesday for ... Trump's pardon power derives from a brief clause in the Constitution that simply ...,https://www.cnn.com/2020/12/23/opinions/donald-trump-potential-bizarre-pardons-alonso/index.html,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",0.45,0.55,-0.101
Trump throws Covid relief bill in doubt by asking Congress to amend it,CNN,2 days ago,2020-12-24 22:26:07.185560,"Trump's position could threaten to torpedo the carefully drafted bill, which his own administration helped negotiate -- a move that could lead to a government ...",https://www.cnn.com/2020/12/22/politics/trump-coronavirus-relief-bill/index.html,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",0.0,0.0,0.1531
Statement from the Press Secretary Regarding Executive ...,,2 days ago,2020-12-24 22:26:07.179529,"James Kassouf — President Trump granted a full pardon to James Kassouf. This pardon is supported by former Florida Attorney General Pam Bondi, ...",https://www.whitehouse.gov/briefings-statements/statement-press-secretary-regarding-executive-grants-clemency-122320/,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",0.0,0.0,0.0
Donald Trump's latest wave of pardons includes Paul Manafort and Charles Kushner,The Guardian,2 days ago,2020-12-24 22:26:07.032563,Donald Trump's latest wave of pardons includes Paul Manafort and Charles Kushner. President also gives clemency to Roger Stone in second round of pardons ...,https://www.theguardian.com/us-news/2020/dec/23/donald-trumps-latest-wave-of-pardons-includes-paul-manafort-and-charles-kunsher,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",0.5,0.9,0.296
How Trump's Attack on Relief Bill Has Divided GOP,The New York Times,2 days ago,2020-12-24 22:26:05.146043,"From the campaign trail in Georgia to Capitol Hill, President Trump's demand for changes to the $900 billion pandemic relief plan upended political and economic ...",https://www.nytimes.com/2020/12/23/us/politics/trump-coronavirus-relief-bill-gop.html,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",0.0,0.0,0.0
Biden's post-election stock market bump is easily beating Trump's,CNN,2 days ago,2020-12-24 22:26:05.139074,"New York (CNN Business) The Biden era is off to a roaring start on Wall Street, even surpassing the euphoria following President Donald Trump's upset victory ...",https://www.cnn.com/2020/12/24/investing/stock-market-biden-trump-election/index.html,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",0.43333333333333335,0.8333333333333334,-0.1531
"Democrats seize on Trump's push for $2,000 stimulus checks for boost in Georgia Senate race",CNBC,2 days ago,2020-12-24 22:26:03.273067,"In the crucial Georgia Senate runoffs, Democrats Jon Ossoff and Raphael Warnock are using Trump's new move to bash GOP Sens. David Perdue and Kelly ...",https://www.cnbc.com/2020/12/23/democrats-use-trump-2000-stimulus-checks-georgia-senate-race.html,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",0.0,0.0,0.4019
Trump vetoes $740 billion defense bill after Section 230 complaints,The Verge,2 days ago,2020-12-24 22:26:03.088909,President Donald Trump has vetoed an annual defense bill authorizing billions of dollars in military spending after complaints that the bill did not include ...,https://www.theverge.com/2020/12/23/22197796/trump-ndaa-veto-section-230-defense-bill-facebook-twitter,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",0.0,0.0,-0.296
Trump's COVID bill delay leaves millions of desperate ...,CNA,2 days ago,2020-12-24 22:26:02.973910,WASHINGTON: President Donald Trump's threat late Tuesday to veto the US$892 billion coronavirus relief bill approved by Congress this week may delay aid ...,https://www.channelnewsasia.com/news/business/trump-s-covid-19-bill-delay-leaves-millions-of-desperate-13833018,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",-0.6,1.0,-0.5574
