title,media,date,datetime,desc,link,img,textBlob polarity,textBlob subjectivity,vader polarity
Trump fled to bunker as protests over George Floyd raged outside White House,The Guardian,"May 31, 2020",2020-05-31,"Donald Trump was taken to the secure White House bunker, usually reserved for times of war or terrorist attacks, in the midst of noisy protests on Friday about ...",https://www.theguardian.com/us-news/2020/may/31/trump-flees-to-bunker-as-protests-over-george-floyd-rage-outside-white-house,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",0.0,0.025,-0.5994
Trump and Zuckerberg spoke on the phone Friday,CNN,"May 31, 2020",2020-05-31,"New York (CNN) President Donald Trump and Facebook CEO Mark Zuckerberg spoke on the phone Friday, a source familiar with the call told CNN Sunday.",https://www.cnn.com/2020/05/31/media/trump-zuckerberg-phone-call/index.html,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",0.0,0.0,0.0
Remarks by President Trump on Actions Against China,Whitehouse.gov,"May 30, 2020",2020-05-30,"Rose Garden. May 29, 2020 2:48 P.M. EDT. THE PRESIDENT: Thank you very much. Good afternoon. Thank you. I'm here today to talk about our relationship ...",https://www.whitehouse.gov/briefings-statements/remarks-president-trump-actions-china/,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",0.0,0.0,0.0
Trump targets China over Hong Kong security law,BBC News,"May 30, 2020",2020-05-30,"President Donald Trump has announced that he will start to end preferential treatment for Hong Kong in trade and travel, in response to a new security law pushed ...",https://www.bbc.com/news/world-us-canada-52856876,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",0.0,0.0,0.34
Trump taking action to eliminate special treatment for Hong Kong,CNBC,"May 29, 2020",2020-05-29,President Donald Trump announced he would begin taking steps to revoke Hong Kong's favored trade status with the United States. “My announcement today ...,https://www.cnbc.com/2020/05/29/trump-taking-action-to-eliminate-special-treatment-for-hong-kong.html,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",0.2285714285714286,0.3357142857142857,0.4019
Trump says U.S. to withdraw from World Health Organization and announces new broadsides against Beijing,Washington Post,"th · May 29, 2020",2020-05-29,"President Trump on Friday leveled an extraordinary broadside at the Chinese government, accusing it of a comprehensive “pattern of misconduct” and ordering ...",https://www.washingtonpost.com/business/2020/05/29/trump-china-hong-kong-who/,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",0.13636363636363635,0.45454545454545453,0.0
"Defying Trump, Twitter Doubles Down on Labeling Tweets",The New York Times,"May 28, 2020",2020-05-28,"Trump's tweets about mail-in ballots, rebutting their accuracy. In response, Mr. Trump accused Twitter of stifling speech and declared that he would put a stop to the ...",https://www.nytimes.com/2020/05/28/technology/trump-twitter-fact-check.html,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",-0.15555555555555559,0.2888888888888889,0.0
Twitter labels Trump’s tweets with a fact check for the first time,Washington Post,"May 26, 2020",2020-05-26,"Twitter's label says, “Get the facts about mail-in ballots,” and redirects users to news articles about Trump's unsubstantiated claim. There is NO WAY (ZERO!) that ...",https://www.washingtonpost.com/technology/2020/05/26/trump-twitter-label-fact-check/,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",0.25,0.3333333333333333,0.0
Donald Trump's anti-mask campaign picks up steam,CNN,"May 26, 2020",2020-05-26,"(CNN) President Donald Trump has never been a big fan of wearing a mask to protect himself -- and others -- from the spread of the coronavirus. ""I don't think I'm ...",https://www.cnn.com/2020/05/26/politics/donald-trump-mask-joe-biden/index.html,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",0.0,0.0,0.0
"More Americans are souring on Trump's coronavirus handling, new polling shows",NBC News,"May 22, 2020",2020-05-22,A Fox News poll shows Trump's overall approval rating now at 44 percent — down from 49 percent in April and 48 percent in March.,https://www.nbcnews.com/politics/meet-the-press/more-americans-are-souring-trump-s-coronavirus-handling-new-polling-n1212796,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",0.3181818181818182,0.4772727272727273,0.0
"Firing a Salvo in Culture Wars, Trump Pushes for Churches to Reopen",The New York Times,"May 22, 2020",2020-05-22,"President Trump threatened to overrule states that refuse to open places of worship. The White House could not explain how he has that power, and legal experts ...",https://www.nytimes.com/2020/05/22/us/politics/trump-churches-coronavirus.html,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",0.0,0.0,-0.7184
Donald Trump press secretary inadvertently reveals president's bank details,The Guardian,"May 22, 2020",2020-05-22,Donald Trump press secretary inadvertently reveals president's bank details. This article is more than 6 months old. Kayleigh McEnany appears to accidentally ...,https://www.theguardian.com/us-news/2020/may/23/donald-trump-press-secretary-inadvertently-reveals-presidents-bank-details,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",0.0,0.0,0.0
"6 months on, Trump hasn't completed his physical. The White House won't say why.",NBC News,"May 22, 2020",2020-05-22,"Trump's 2019 exam was conducted in February, and his 2018 physical was conducted in January. It is uncommon for a president to complete a routine physical ...",https://www.nbcnews.com/politics/white-house/white-house-remains-mum-questions-about-trump-s-annual-physical-n1213266,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",0.0,0.07142857142857142,0.0
Trump says he won't close the country if second wave of coronavirus hits,CNBC,"May 21, 2020",2020-05-21,President Donald Trump said “we are not closing our country” if the U.S. is hit by a second wave of coronavirus infections. “People say that's a very distinct ...,https://www.cnbc.com/2020/05/21/trump-says-he-wont-close-the-country-if-second-wave-of-coronavirus-hits.html,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",0.0,0.0,0.0
