title,media,date,datetime,desc,link,img,textBlob polarity,textBlob subjectivity,vader polarity
Can Biden's Center Hold?,The New Yorker,"Aug 31, 2020",2020-08-31,"Can Biden's Center Hold? After a career built on incremental progress, Joe Biden is promising a Presidency of transformational change. The election will test ...",https://www.newyorker.com/magazine/2020/08/31/can-bidens-center-hold,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",-0.1,0.1,0.0
Biden Lambastes Trump In Remarks Amid Protests And Unrest,NPR,"Aug 31, 2020",2020-08-31,Democratic presidential nominee Joe Biden on Monday forcefully pushed back against President Trump's campaign message that voters wouldn't be safe under a ...,https://www.npr.org/2020/08/31/907885410/biden-trump-can-t-stop-violence-because-for-years-he-s-fomented-it,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",0.0,0.0,-0.2263
Opinion | One of the Candidates Cheers Violence. It's Not Biden.,The New York Times,"Aug 31, 2020",2020-08-31,It's Not Biden. Trump has urged his fans to mayhem since his first presidential campaign. Michelle Goldberg. By Michelle ...,https://www.nytimes.com/2020/08/31/opinion/trump-biden-violence.html,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",0.0,0.0,-0.25
Fact Check: Trump's And Biden's Records On Criminal Justice,NPR,"Aug 30, 2020",2020-08-30,"Biden and Democrats were ""completely silent about the rioters and criminals spreading mayhem in Democrat-run cities,"" during their convention, President ...",https://www.npr.org/2020/08/30/907026973/fact-check-trump-and-bidens-records-on-criminal-justice,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",-0.4,0.55,0.0
This Is How Biden Loses,The Atlantic,"Aug 28, 2020",2020-08-28,And yet Joe Biden has it in his power to spare the country a second Trump term. Events are unfolding with the inevitable logic of a nightmare. A white police officer ...,https://www.theatlantic.com/ideas/archive/2020/08/how-biden-loses/615835/,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",-0.3,0.1,-0.3182
Trump challenges Biden to drug test before debate,BBC News,"Aug 27, 2020",2020-08-27,Mr Trump told the Washington Examiner he had noticed a sudden improvement in Mr Biden's performance in the Democratic TV debates. The president offered no ...,https://www.bbc.com/news/election-us-2020-53927766,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",0.0,0.0,0.0772
Pelosi says Biden shouldn't debate Trump,CNN,"Aug 27, 2020",2020-08-27,MUST WATCH. Political analyst makes plea for Biden not to debate Trump 06:23. (CNN) House Speaker Nancy Pelosi on Thursday said Democratic presidential ...,https://www.cnn.com/2020/08/27/politics/pelosi-biden-trump-debates/index.html,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",0.0,0.0,0.0
Trump hits back at Biden’s accusation of ‘darkness in America’: Key moments,Politico,"Aug 27, 2020",2020-08-27,"President Donald Trump formally accepted the Republican presidential nomination on Thursday night, directly countering Joe Biden's own convention address, ...",https://www.politico.com/news/2020/08/27/rnc-thursday-key-moments-403972,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",0.0,0.5,-0.25
Biden gets no convention bounce after Democratic gathering: Reuters/Ipsos poll,Reuters,"Aug 26, 2020",2020-08-26,"NEW YORK (Reuters) - Democratic presidential candidate Joe Biden saw no bounce in popular support after last week's Democratic National Convention, ...",https://www.reuters.com/article/us-usa-election-poll-idUSKBN25M156,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",0.0,0.0,-0.296
"27 Prominent Republicans, Including Jeff Flake, Announce They’ll Endorse Joe Biden",Forbes,"Aug 24, 2020",2020-08-24,“President Trump has unprecedented support—over 95%—among real Republican voters and is also making strong inroads in Biden's core Democrat ...,https://www.forbes.com/sites/tommybeer/2020/08/24/27-prominent-republicans-including-jeff-flake-announce-theyll-endorse-joe-biden/,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",0.5,1.0,0.5574
