title,media,date,datetime,desc,link,img,textBlob polarity,textBlob subjectivity,vader polarity
Nvidia might debut GeForce RTX 3000 graphics cards in August,TechRadar,"Mar 31, 2020",2020-03-31,"Tweaktown is reporting that Nvidia now plans debut the Ampere GPU architecture in August this year, with a full launch planned for the newly-rescheduled ...",https://www.techradar.com/sg/news/nvidia-might-debut-geforce-rtx-3000-graphics-cards-in-august,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",0.0,0.0,0.0
Ancient AMD GPUs destroy Nvidia’s when it comes to Doom Eternal,TechRadar,"Mar 30, 2020",2020-03-30,"Back then, Nvidia's GTX 680 just about edged out the 7970 – and certainly won the battle on the power-efficiency front – although the graphics cards were on a ...",https://www.techradar.com/news/ancient-amd-gpus-destroy-nvidias-when-it-comes-to-doom-eternal,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",-0.2,0.0,-0.7351
NVIDIA’s Deep Learning Super Sampling (DLSS) 2.0 Technology Is The Real Deal,Forbes,"Mar 29, 2020",2020-03-29,"NVIDIA's DLSS 2.0 Offers Big Performance Improvements Over The Original. NVIDIA. In practice, DLSS 1.0's effect on game visuals and performance was a mixed ...",https://www.forbes.com/sites/marcochiappetta/2020/03/29/nvidias-deep-learning-super-sampling-dlss-20-technology-is-the-real-deal/,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",0.17777777777777778,0.45555555555555555,0.5994
NVIDIA’s Deep Learning Super Sampling (DLSS) 2.0 Technology Is The Real Deal,Forbes,"Mar 29, 2020",2020-03-29,"NVIDIA's DLSS 2.0 Offers Big Performance Improvements Over The Original. NVIDIA. In practice, DLSS 1.0's effect on game visuals and performance was a mixed ...",https://www.forbes.com/sites/marcochiappetta/2020/03/29/nvidias-deep-learning-super-sampling-dlss-20-technology-is-the-real-deal/,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",0.17777777777777778,0.45555555555555555,0.5994
Nvidia adds Control to GeForce Now and promises new games every week,The Verge,"Mar 27, 2020",2020-03-27,"â€œEpic is wholeheartedly supporting Nvidia's GeForce Now service with Fortnite and with Epic Games Store titles that choose to participate (including exclusives), ...",https://www.theverge.com/2020/3/27/21197361/nvidia-geforce-now-cloud-gaming-control-new-games-weekly,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",0.13636363636363635,0.45454545454545453,0.3818
Testing Nvidia's DLSS 2.0: Higher Frame Rates for Free?,PCMag.com,"Mar 27, 2020",2020-03-27,Nvidia's new DLSS 2.0 promises to sharpen and supercharge some popular PC games for owners of GeForce RTX cards. But can the tech behind it live up to its ...,https://www.pcmag.com/news/testing-nvidias-dlss-20-higher-frame-rates-for-free,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",0.325,0.65,0.5106
"First Laptops with Intel Comet Lake-H Processors, Nvidia GeForce Super Mobile GPUs Reportedly Launching o...",NDTV,"Mar 26, 2020",2020-03-26,Nvidia will reportedly launch its Super Turing series graphics cards for notebooks with the Mechrevo Z3 series of gaming laptops on April 2. According to ...,https://gadgets.ndtv.com/laptops/news/nvidia-rtx-super-mobile-gpu-intel-comet-lake-h-cpu-mechrevo-z3-gaming-laptops-launch-april-2-2201003,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",0.29166666666666663,0.5,0.5994
Better Buy: Himax Technologies vs. NVIDIA,Motley Fool,"Mar 26, 2020",2020-03-26,NVIDIA is substantially larger than Himax. It's best known for its graphics processing units (GPUs) that are the heart of the graphics cards for desktop computer ...,https://www.fool.com/investing/2020/03/26/better-buy-himax-technologies-vs-nvidia.aspx,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",0.5,0.5,0.4404
BOXX Introduces New NVIDIA-Powered Data Center System ...,,"Mar 25, 2020",2020-03-25,BOXX Introduces New NVIDIA-Powered Data Center System and More at GTC Digital. Multiple NVIDIA Quadro GPUs Accelerate High Performance Computing ...,https://www.globenewswire.com/news-release/2020/03/25/2006166/0/en/BOXX-Introduces-New-NVIDIA-Powered-Data-Center-System-and-More-at-GTC-Digital.html,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",0.018181818181818174,0.2772727272727273,0.0
Nvidia stock heads for best day in nearly three years after upgrade,MarketWatch,"Mar 24, 2020",2020-03-24,"Nvidia shares are up 15.1% in Tuesday trading. If the gains hold through the close, it would mark Nvidia's best single-day percentage gain since May 10, 2017, ...",https://www.marketwatch.com/story/nvidia-stock-heads-for-best-day-in-nearly-three-years-after-upgrade-2020-03-24,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",0.55,0.35,0.6369
Navigant Research ranks NVIDIA as top automated vehicle ...,Green Car Congress,"Mar 24, 2020",2020-03-24,"In a recent Leaderboard report, Navigant Research ranks NVIDIA as the leading automated driving compute platform. Navigant ranks companies in this report ...",https://www.greencarcongress.com/2020/03/20200324-navigant.html,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",0.5,0.5,0.2023
Nvidiaâ€™s DLSS 2.0 aims to prove the technology is essential,VentureBeat,"Mar 23, 2020",2020-03-23,"Nvidia built the second-generation DLSS to address all of the concerns with the technology. It looks better, gives players much more control, and should support a ...",https://venturebeat.com/2020/03/23/nvidias-dlss-2-0/,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",0.0,0.3,0.0
"Nvidia DLSS 2.0 is here, making Nvidia GeForce RTX cards an easy sell",TechRadar,"Mar 23, 2020",2020-03-23,"Nvidia DLSS was one of the major parts of Nvidia's Turing architecture when it was announced way back in August 2018, but now Team Green has improved it ...",https://www.techradar.com/sg/news/nvidia-dlss-20-is-here-making-nvidia-geforce-rtx-cards-an-easy-sell,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",0.43333333333333335,0.8333333333333334,0.4404
"With DLSS 2.0, Nvidia is harnessing AI to improve games ...",SiliconANGLE,"Mar 23, 2020",2020-03-23,"According to Nvidia, the software enhances the visual fidelity of games and improves performance by tweaking the way graphics assets are rendered. To optimize ...",https://siliconangle.com/2020/03/23/dlss-2-0-nvidia-harnessing-ai-improve-games-visual-fidelity/,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",0.0,0.0,0.4404
"Nvidia kicks off 150 talks for 30,000 developers with online-only GTC event from March 25",VentureBeat,"Mar 23, 2020",2020-03-23,"GTC is founded on Nvidia's graphics and CUDA processing designs, and it is intended for the “Einsteins and Da Vincis of our time.”.",https://venturebeat.com/2020/03/23/nvidia-kicks-off-150-talks-for-30000-developers-with-online-only-gtc-event-march-25-to-april-2/,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",0.0,0.0,0.0
How NVIDIA Is Using Its GPU Technolgy To Fight Against COVID-19 Virus,Forbes,"Mar 22, 2020",2020-03-22,"Since Parabricks is available as a part of NVIDIA GPU Cloud (NGC), it is expected to run on major cloud platforms and NVIDIA's own appliances including DGX-1.",https://www.forbes.com/sites/janakirammsv/2020/03/22/how-nvidia-is-using-its-gpu-technolgy-to-fight-against-covid-19-virus/,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",0.0,0.0,-0.3818
NVIDIA Gives COVID-19 Researchers Free Access Genome ...,insideHPC,"Mar 20, 2020",2020-03-20,But analyzing genomic sequences takes time and computing muscle. Accelerating science has long been part of NVIDIA's core mission. The Parabricks team ...,https://insidehpc.com/2020/03/nvidia-gives-covid-19-researchers-free-access-genome-sequencing-software-for-gpus/,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",0.4,0.8,0.5106
"Why BofA Says AMD, Nvidia Are High-Quality, High-Beta ...",Benzinga,"Mar 20, 2020",2020-03-20,"Nvidia's PC gaming sales grew at an annual pace of over 35% at that time, the analyst said. New Traders Swear By Benzinga Options. ""9 out ...",https://www.benzinga.com/analyst-ratings/analyst-color/20/03/15617188/why-bofa-says-amd-nvidia-are-high-quality-high-beta-stocks-in-a-volatile-market,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",0.0,0.0,0.0
"Why BofA Says AMD, Nvidia Are High-Quality, High-Beta ...",Benzinga,"Mar 20, 2020",2020-03-20,"Nvidia's PC gaming sales grew at an annual pace of over 35% at that time, the analyst said. New Traders Swear By Benzinga Options. ""9 out ...",https://www.benzinga.com/analyst-ratings/analyst-color/20/03/15617188/why-bofa-says-amd-nvidia-are-high-quality-high-beta-stocks-in-a-volatile-market,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",0.0,0.0,0.0
Nvidia makes its GPU-powered genome sequencing tool available free to those studying COVID-19,TechCrunch,"Mar 19, 2020",2020-03-19,"Researchers will still need access to Nvidia GPUs for running the Parabricks genetic sequencing suite, but they won't have to pay anything for the privilege of ...",https://techcrunch.com/2020/03/19/nvidia-makes-its-gpu-powered-genome-sequencing-tool-available-free-to-those-studying-covid-19/,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",0.4,0.6000000000000001,0.5106
Nvidia GeForce Now is a huge success – despite losing big games,TechRadar,"Mar 18, 2020",2020-03-18,"Nvidia's GeForce Now has sold out of Founders memberships – in other words, slots for paying subscribers – in Europe, with the situation in the US apparently ...",https://www.techradar.com/news/nvidia-geforce-now-is-a-huge-success-despite-losing-big-games,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",0.23333333333333336,0.3333333333333333,0.8011
Update: NVIDIA GTC 2020 Announcements Postponed Entirely,AnandTech,"Mar 16, 2020",2020-03-16,"Given the much lower-key nature of NVIDIA's previously planned news releases, I was not expecting the company to bring out its biggest announcements to begin ...",https://www.anandtech.com/show/15602/nvidia-axes-gtc-digital-keynote-in-favor-of-news-releases,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",0.0,0.625,-0.2023
Nvidia wants PC gamers to use their rigs to fight coronavirus,TechRadar,"Mar 16, 2020",2020-03-16,"Nvidia has asked PC gamers to use their powerful gaming PCs to help with the fight against the COVID-19 coronavirus outbreak, by donating unused GPU clock ...",https://www.techradar.com/news/nvidia-wants-pc-gamers-to-use-their-rigs-to-fight-coronavirus,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",0.2,0.1,-0.3818
Nvidia Postpones GTC Product Announcements Due To ...,CRN,"Mar 16, 2020",2020-03-16,Nvidia CEO Jensen Huang said the chipmaker is holding off from sharing product announcements during its digital GPU Technology Conference due to the ...,https://www.crn.com/news/components-peripherals/nvidia-postpones-gtc-product-announcements-due-to-coronavirus,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",-0.125,0.375,-0.2732
Bull of the Day: NVIDIA (NVDA),Yahoo Finance,"Mar 16, 2020",2020-03-16,"I last wrote about NVIDIA (NVDA) as the Bull of the Day in late November after their strong Q3 FY2020 report. Today, I want to cover the company and stock ...",https://finance.yahoo.com/news/bull-day-nvidia-nvda-090109918.html,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",0.0,0.0,0.0
