title,media,date,datetime,desc,link,img,textBlob polarity,textBlob subjectivity,vader polarity
Better Buy: Advanced Micro Devices vs. NVIDIA,Motley Fool,"May 28, 2020",2020-05-28,NVIDIA's sales growth stems from success in the data center. The company's data center sales increased by 80% year over year in last week's first-quarter 2021 ...,https://www.fool.com/investing/2020/05/28/better-buy-advanced-micro-devices-vs-nvidia.aspx,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",0.45,0.55,0.5994
Nvidia says developers must now opt in to include games on GeForce Now,The Verge,"May 27, 2020",2020-05-27,"“Response has been strong with over 200 publishers committing to streaming on the service,” reads a blog post from Phil Eisler, Nvidia's GeForce Now vice ...",https://www.theverge.com/2020/5/27/21272558/nvidia-geforce-now-opt-in-agreement-game-developers-publishers-licensing-cloud-gaming,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",0.0,0.0,0.0
3 Non-Semiconductor ETFs Benefiting From Nvidia Exposure,MarketWatch,"May 26, 2020",2020-05-26,Enter exchange-traded funds. An interesting thing about Nvidia's relationship with the 232 ETFs in which it resides is that some of the funds with the largest ...,https://www.marketwatch.com/story/3-non-semiconductor-etfs-benefiting-from-nvidia-exposure-2020-05-26,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",0.0,0.0,0.0
40 Years After Pac-Man Took Over The World NVIDIA Has Recreated The Game Using AI,Forbes,"May 24, 2020",2020-05-24,"NVIDIA claims GameGAN is the first neural network model that can mimic a video game engine by leveraging the capabilities of generative adversarial networks, ...",https://www.forbes.com/sites/marcochiappetta/2020/05/24/40-years-after-pac-man-took-over-the-world-nvidia-has-recreated-the-game-using-ai/,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",-0.4,0.4,0.0
Nvidia’s AI recreates Pac-Man from scratch just by watching it being played,The Verge,"May 22, 2020",2020-05-22,"But the basic dynamics of Pac-Man are all there: eat pellets, avoid ghosts, and try not to die. “It learns all of these things just by watching,” Nvidia's Rev Lebaredian, ...",https://www.theverge.com/2020/5/22/21266251/nvidia-ai-gamegan-recreate-pac-man-virutal-environment,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",0.0,0.0,0.34
"NVIDIA Used Artificial Intelligence to Clone ""Pac-Man""",Motley Fool,"May 22, 2020",2020-05-22,Chip designer NVIDIA (NASDAQ:NVDA) has recreated the classic video game Pac-Man in an unusual way. The company set up an artificial intelligence (AI) ...,https://www.fool.com/investing/2020/05/22/nvidia-used-artificial-intelligence-to-clone-pac-m.aspx,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",-0.6,1.0,0.4767
NVIDIA's Artificial Intelligence Recreates 'Pac-Man' for 40th Anniversary,HYPEBEAST,"May 22, 2020",2020-05-22,"NVIDIA's Artificial Intelligence Recreates 'Pac-Man' for 40th Anniversary. No coding or pre-rendered images were used, the program just watched the game. By ...",https://hypebeast.com/2020/5/nvidia-ai-recreates-pac-man-for-40th-anniversary,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",-0.6,1.0,0.4767
NVIDIA Announces Financial Results for First Quarter Fiscal ...,GlobeNewswire,"May 21, 2020",2020-05-21,"NVIDIA's outlook for the second quarter of fiscal 2021 includes the impact from the acquisition of Mellanox, which closed on the first day of the second quarter. The ...",https://www.globenewswire.com/news-release/2020/05/21/2037294/0/en/NVIDIA-Announces-Financial-Results-for-First-Quarter-Fiscal-2021.html,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",0.125,0.16666666666666666,0.0
"AMD, Nvidia may launch their next generation graphics cards in September",TechRadar,"May 21, 2020",2020-05-21,"We have long been anticipating the arrival of both Nvidia's Ampere GPU architecture to its GeForce graphics cards as well as AMD's ultimate Nvidia killer, the ...",https://www.techradar.com/sg/news/amd-nvidia-may-launch-their-next-generation-graphics-cards-in-september,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",0.0,0.0,0.0
Nvidia should dodge massive coronavirus effects thanks to data centers and videogames,MarketWatch,"May 21, 2020",2020-05-21,"Nvidia's stock is up more than 50% for the year, and has gained 21% in May alone. What the numbers are saying. Revenue: Analysts surveyed by FactSet expect ...",https://www.marketwatch.com/story/nvidia-should-dodge-massive-coronavirus-effects-thanks-to-data-centers-and-videogames-2020-05-20,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",0.1,0.6,0.4404
