title,media,date,datetime,desc,link,img,textBlob polarity,textBlob subjectivity,vader polarity
"Intel Is Down In Processors, Not Out With 7nm Delays",Forbes,"Jul 31, 2020",2020-07-31,"Intel's 7nm delay isn't the first time the company has had to delay a process node, but it is the most crucial time for the company to make such an announcement ...",https://www.forbes.com/sites/moorinsights/2020/07/31/intel-is-down-in-processors-not-out-with-7nm-delays/,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",-0.15555555555555559,0.2888888888888889,0.0
Intel Emerges as Symbol of Big Tech’s Decline,Bloomberg,"Jul 30, 2020",2020-07-30,"Intel Corp., the company that once marked U.S. dominance of the semiconductor industry, has announced that the introduction of its new flagship series of ...",https://www.bloomberg.com/opinion/articles/2020-07-30/intel-s-stumble-doesn-t-make-the-case-for-federal-aid,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",0.0,0.1,0.0
"Asus launches ZenBook, VivoBook laptops with 10th Gen Intel Core processors",Business Standard,"Jul 30, 2020",2020-07-30,"Both the Zenbook and Vivobook are part of company's thin and light laptop line-up, now powered by 10th Gen Intel Core mobile processors. “Consumer laptop ...",https://www.business-standard.com/article/technology/asus-launches-zenbook-vivobook-laptops-with-10th-gen-intel-core-processors-120073000865_1.html,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",0.0,0.0,0.0
It's Time for Intel to Double Down on Foundry Business,Eetasia.com,"Jul 30, 2020",2020-07-30,Intel Corp. dropped the ball. It should today be the world's biggest semiconductor foundry; not TSMC. This can still change but it will require a radically different ...,https://www.eetasia.com/its-time-for-intel-to-double-down-on-foundry-business/,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",-0.07777777777777779,0.14444444444444446,0.0
AMD gains chip market share at Intel's expense; shares surge,The Straits Times,"Jul 29, 2020",2020-07-29,"Intel's announcement of further delays in improving its production does not change what AMD has to do, she said. ""The most important thing for us is to execute to ...",https://www.straitstimes.com/business/companies-markets/amd-gains-chip-market-share-at-intels-expense-shares-surge,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",0.0,0.0,0.7003
Intel – Flourish or Flounder? – EEJournal,EE Journal,"Jul 29, 2020",2020-07-29,"For decades, Intel's entire persona as a technology company has been centered around their manufacturing leadership, and their ability to out-Moore the ...",https://www.eejournal.com/article/intel-flourish-or-flounder/,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",0.0,0.0,0.0
AMD stock surges to record after outlook contrasts with Intel’s ‘faceplant’,MarketWatch,"Jul 29, 2020",2020-07-29,Susquehanna Financial analyst Christopher Rolland upgraded AMD to a positive rating from neutral because the company was “capitalizing on Intel's 7-nm ...,https://www.marketwatch.com/story/amd-stock-surges-to-record-after-outlook-contrasts-with-intels-faceplant-2020-07-29,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",0.0,0.0,0.0
Samsung Electronics shares rally on Intel's chip outsourcing ...,CNA,"Jul 28, 2020",2020-07-28,"Samsung Electronics shares rally on Intel's chip outsourcing plan. Shares of Samsung Electronics rallied on Tuesday, joining its bigger rival TSMC, driven by ...",https://www.channelnewsasia.com/news/business/samsung-electronics-shares-rally-on-intel-s-chip-outsourcing-plan-12969200,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",0.0,0.0,0.296
Asus' ZenBook 13 and 14 get updated with 10th-gen Intel chips,CNET,"Jul 28, 2020",2020-07-28,"Announced on Tuesday, the new models now feature a ""thinner and lighter"" design, Intel's latest 10th-gen chips and up to 22 hours of battery life. Available at ...",https://www.cnet.com/news/asus-zenbook-13-and-14-get-updated-with-10th-generation-intel-chips/,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",0.0,0.0,0.0
Intel falls behind Asian rival TSMC in chip race,Nikkei Asian Review,"Jul 27, 2020",2020-07-27,"Intel's two key Asian chip rivals, TSMC and Samsung, are already working on more advanced 5-nanometer chip technology. TSMC is even mass producing 5- ...",https://asia.nikkei.com/Business/Technology/Intel-falls-behind-Asian-rival-TSMC-in-chip-race,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",-0.2,0.35,0.0
