title,media,date,datetime,desc,link,img,textBlob polarity,textBlob subjectivity,vader polarity
Better Buy: NXP Semiconductors vs. Intel Corporation,Motley Fool,"Aug 31, 2020",2020-08-31,"I noted NXP wasn't struggling with operational issues like Intel's chip shortage, its end markets were gradually stabilizing, and it would benefit from its takeover of ...",https://www.fool.com/investing/2020/08/31/better-buy-nxp-semiconductors-vs-intel-corporation/,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",0.5,0.5,0.4404
Better Buy: Micron Technology vs. Intel,Motley Fool,"Aug 30, 2020",2020-08-30,"Though Intel's processor sales are somewhat sensitive to the same elements as Micron's memory chips, Intel's processors contain more proprietary chip design, ...",https://www.fool.com/investing/2020/08/30/better-buy-micron-technology-vs-intel/,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",0.5,0.5,0.4404
10 Cool Gaming PCs Using Intel's 10th-Gen Core CPUs,CRN,"Aug 28, 2020",2020-08-28,10 Cool Gaming PCs Using Intel's 10th-Gen Core CPUs. These high-end gaming PCs take advantage of Intel's 10th-generation Core processors that feature up to ...,https://www.crn.com/slide-shows/components-peripherals/10-cool-gaming-pcs-using-intel-s-10th-gen-core-cpus,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",0.35,0.65,0.3182
"Microsoft Divulges Next-Generation AMD, Intel And Qualcomm GPU Features In New DirectX 12_2 Blog Post",Forbes,"Aug 28, 2020",2020-08-28,Intel's roadmap includes discrete GPUs that will empower developers to take full advantage of Feature Level 12_2. Microsoft is collaborating with Qualcomm to ...,https://www.forbes.com/sites/marcochiappetta/2020/08/28/microsoft-divulges-next-generation-amd-intel-and-qualcomm-gpu-features-in-new-directx-12_2-blog-post/,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",0.13636363636363635,0.45454545454545453,0.0
Intel Collaborates with Argonne and DOE in Q-Next Quantum ...,,"Aug 26, 2020",2020-08-26,Intel's research efforts in quantum span the entire quantum system – or “full-stack” – from qubit devices to the hardware and software required to control these ...,https://www.hpcwire.com/off-the-wire/intel-collaborates-with-argonne-and-doe-in-q-next-quantum-computing-research/,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",0.0,0.0,0.0
"Graphics sales surge, with AMD and Nvidia benefiting at ...",Channel Asia Singapore,"Aug 26, 2020",2020-08-26,Intel's slide didn't seem to hurt discrete graphics cards used in desktops though. JPR said add-in board sales increased a healthy 6.55 per cent over the previous ...,https://www.channelasia.tech/article/682428/graphics-sales-surge-amd-nvidia-benefiting-intel-loss/,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",0.0,0.0,0.0
"Intel, automakers ask FTC to fight Qualcomm's successful ...",FierceWireless,"Aug 25, 2020",2020-08-25,"Twenty-one companies, including Intel and MediaTek, trade groups, and automakers Ford, Honda, and Tesla, among others sent a letter (PDF) to the FTC ...",https://www.fiercewireless.com/wireless/intel-automakers-ask-ftc-to-fight-qualcomm-s-successful-antitrust-appeal,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",0.75,0.95,0.296
How a decision 15 years ago contributed to Intel’s fall from grace today,South China Morning Post,"Aug 22, 2020",2020-08-22,"Investors sold Intel's stock and it lost around US$50 billion in valuation, while TSMC saw its market valuation increase by over 50 per cent in the same period ...",https://www.scmp.com/tech/big-tech/article/3098323/how-decision-15-years-ago-contributed-intels-fall-grace-today,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",0.0,0.0,0.4215
Shareholder Alert: Robbins LLP Announces That Intel ...,Business Wire,"Aug 21, 2020",2020-08-21,"Embarrassing setbacks in the production and manufacturing of Intel's current 10nm line, released in 2019, damaged the Company's industry reputation and ...",https://www.businesswire.com/news/home/20200821005461/en/Shareholder-Alert-Robbins-LLP-Announces-That-Intel-Corporation-INTC-is-Being-Sued-for-Misleading-Shareholders,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",0.0,0.0,0.296
Intel Delves into African Mineral Supply Chain for Responsible ...,Environment + Energy Leader,"Aug 21, 2020",2020-08-21,"Adam Schafer, Intel's director of supply chain sustainability and Erin Mitchell, manager of Intel's Responsible Minerals Program, visited six mines and refining ...",https://www.environmentalleader.com/2020/08/intel-mineral-supply-chain-sourcing/,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",0.1,0.275,0.3182
