title,media,date,datetime,desc,link,img,textBlob polarity,textBlob subjectivity,vader polarity
Better Buy: Advanced Micro Devices (AMD) vs. Intel Corporation,Motley Fool,"Sep 30, 2020",2020-09-30,"Since then, AMD's stock has surged nearly 500% while Intel's stock advanced by almost 50%. Let's see why AMD outperformed Intel by such a wide margin, and if ...",https://www.fool.com/investing/2020/09/30/better-buy-advanced-micro-devices-vs-intel/,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",0.45,0.55,0.5994
AMD Ryzen 7 5800X leak shows a powerhouse gaming CPU that could embarrass Intel’s Core i9-10900K,TechRadar,"Sep 29, 2020",2020-09-29,AMD's Ryzen 7 5800X has been spotted in a game benchmark where the purported chip put up a very impressive performance compared to Intel's current ...,https://www.techradar.com/sg/news/amd-ryzen-7-5800x-leak-shows-a-powerhouse-gaming-cpu-that-could-embarrass-intels-core-i9-10900k,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",0.0,0.0,-0.5574
AMD Implies Radeon RX 6000 Launch Will Be Smoother Than Nvidia Rollout,PCMag.com,"Sep 26, 2020",2020-09-26,AMD's chief architect of gaming solutions took a buyer up on his $10 bet that AMD will have issues with its upcoming Radeon launch similar to those that ...,https://www.pcmag.com/news/amd-implies-nvidias-supply-issues-wont-plague-radeon-rx-6000-launch,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",0.0,0.0,0.0
AMD Ryzen 5000 leak shows a powerful APU to strike back at Intel’s Tiger Lake,TechRadar,"Sep 26, 2020",2020-09-26,"AMD's Ryzen 5000 low-power APUs for laptops (known as 'Van Gogh') will boast Navi 2 (RDNA 2) integrated graphics and support for DDR5/LPDDR5 memory, ...",https://www.techradar.com/sg/news/amd-ryzen-5000-leak-shows-a-powerful-apu-to-strike-back-at-intels-tiger-lake,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",0.15,0.5,-0.0258
AMD promises Big Navi launch won’t suffer the same problems that befell Nvidia’s RTX 3080 release,TechRadar,"Sep 25, 2020",2020-09-25,"Disappointed buyers have taken to social media to vent about Nvidia's problematic launch, and one such comment drew a response from Frank Azor, AMD's chief ...",https://www.techradar.com/sg/news/amd-promises-big-navi-launch-wont-suffer-the-same-problems-that-befell-nvidias-rtx-3080-release,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",0.0,0.1125,-0.5574
Why Can Intel and AMD Sell Chips to Huawei Again?,Motley Fool,"Sep 25, 2020",2020-09-25,"Why does Huawei need American chipmakers? Huawei installs Intel and AMD's x86 CPUs in its PCs and servers, as well as Intel's Altera FPGA (field ...",https://www.fool.com/investing/2020/09/25/why-can-intel-and-amd-sell-chips-to-huawei-again/,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",0.0,0.0,0.0
AMD Big Navi might still be faster than the RTX 3080,TechRadar,"Sep 23, 2020",2020-09-23,The listing hints that the GPU will feature 80 compute units (CUs) and a 256-bit memory bus. If each Compute Unit (CU) in AMD's RDNA 2 architecture still equates ...,https://www.techradar.com/sg/news/amd-big-navi-might-still-be-faster-than-the-rtx-3080,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",0.0,0.1,0.0
AMD Launches First “Zen”-based Chromebook mobile ...,,"Sep 22, 2020",2020-09-22,The AMD Ryzen 3000 C Series Mobile Processors offer up to 212% better performance for multitasking and content creation compared to the previous generation ...,https://www.globenewswire.com/news-release/2020/09/22/2097276/0/en/AMD-Launches-First-Zen-based-Chromebook-mobile-processors-for-faster-web-browsing-improved-office-productivity-and-better-multitasking.html,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",0.25,0.3333333333333333,0.0
AMD announces new processors for Chromebooks (kind of),The Verge,"Sep 22, 2020",2020-09-22,"AMD has announced two new lines of processor: the Athlon 3000 C-Series and the Ryzen 3000 C-series. The two are meant to power Chromebooks, and AMD ...",https://www.theverge.com/2020/9/22/21449826/amd-athlon-ryzen-3000-c-series-processors-chromebooks,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",0.36818181818181817,0.6772727272727272,0.5267
"OnLogic Sees AMD Demand Rise As New Ryzen, EPYC ...",CRN,"Sep 22, 2020",2020-09-22,"OnLogic has also seen demand for servers with PCIe 4.0 connectivity, which is currently a capability only AMD's latest processors possess while Intel has yet to ...",https://www.crn.com/news/internet-of-things/onlogic-sees-amd-demand-rise-as-new-ryzen-epyc-servers-launch,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",0.13636363636363635,0.45454545454545453,-0.128
"Intel, AMD, Nvidia, Ampere Join Oracle Cloud Dream Team",SDxCentral,"Sep 22, 2020",2020-09-22,AMD's upcoming Milan-based EYPC chips will power Oracle's E4 elastic compute instances beginning early next year. Oracle's elastic compute instances enable ...,https://www.sdxcentral.com/articles/news/intel-amd-nvidia-ampere-join-oracle-cloud-dream-team/2020/09/,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",0.0,0.0,0.4939
"Arm Says New Neoverse V1, N2 Server CPUs Faster Than ...",CRN,"Sep 22, 2020",2020-09-22,"Arm Says New Neoverse V1, N2 Server CPUs Faster Than Intel, AMD. 'We know the alternative architecture isn't standing still, but we're very confident that ...",https://www.crn.com/news/components-peripherals/arm-says-new-neoverse-v1-n2-server-cpus-faster-than-intel-amd,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",0.13636363636363635,0.45454545454545453,0.0
AMD's Rapid Growth in This Market Is Here to Stay,Motley Fool,"Sep 21, 2020",2020-09-21,AMD has made terrific advances in the notebook market. Mercury Research points out that AMD's notebook processor market share stood at 19.9% at the end of ...,https://www.fool.com/investing/2020/09/21/amd-rapid-growth-in-this-market-is-here-to-stay/,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",0.0,0.0,0.3818
AMD Big Navi and smaller sibling could both have more VRAM than Nvidia’s RTX 3080,TechRadar,"Sep 21, 2020",2020-09-21,"AMD's Big Navi graphics card will come equipped with 16GB of video RAM, and the model that's a step down from that flagship GPU will run with 12GB of ...",https://www.techradar.com/news/amd-big-navi-and-smaller-sibling-could-both-have-more-vram-than-nvidias-rtx-3080,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",0.16666666666666666,0.3666666666666667,0.0
Intel Core i7-1185G7 reference design laptop benchmarks ...,Notebookcheck.net,"Sep 20, 2020",2020-09-20,Intel Core i7-1185G7 reference design laptop benchmarks confirm iGPU gains over the AMD Ryzen 7 4800U in a Lenovo IdeaPad Slim 7 but the CPU part still ...,https://www.notebookcheck.net/Intel-Core-i7-1185G7-reference-design-laptop-benchmarks-confirm-iGPU-gains-over-the-AMD-Ryzen-7-4800U-in-a-Lenovo-IdeaPad-Slim-7-but-the-CPU-part-still-suffers-from-core-count-envy.494786.0.html,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",0.0,0.0,0.0
"AMD Ryzen 5000 CPUs are about to launch, and not Ryzen 4000, rumor insists",TechRadar,"Sep 18, 2020",2020-09-18,"AMD's next-gen Zen 3-based processors will be the Ryzen 5000 series – skipping the Ryzen 4000 name on the desktop – according to the latest gossip, and a ...",https://www.techradar.com/sg/news/amd-ryzen-5000-cpus-are-about-to-launch-and-not-ryzen-4000-rumor-insists,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",0.0,0.0,0.0
Highlights of the day: AMD processor share rising,Digitimes,"Sep 18, 2020",2020-09-18,"AMD is making major gains in the notebook processor market in 2020, thanks to strong demand from the education sector. Notebook vendors having been ...",https://www.digitimes.com/news/a20200918VL200.html,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",0.0,0.0,0.296
"Deep Dive: Intel 'Tiger Lake' vs. AMD 'Renoir,' Which Laptop CPU Wins on Performance?",PCMag.com,"Sep 17, 2020",2020-09-17,"Intel's top 11th Generation Core U-series performs well for gaming and some AI-assisted workflows, even if it can't always beat AMD's equivalent Ryzen silicon.",https://www.pcmag.com/news/deep-dive-intel-tiger-lake-vs-amd-renoir-which-new-laptop-cpu-line-tests,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",0.15,0.30000000000000004,0.5719
AMD boasts that Ryzen 4000 CPUs will be ‘tremendously powerful’,TechRadar,"Sep 17, 2020",2020-09-17,"AMD's Ryzen 4000 desktop processors will be 'tremendously powerful' thanks to the major advancements in the Zen 3 architecture they're built on, a company ...",https://www.techradar.com/sg/news/amd-boasts-that-ryzen-4000-cpus-will-be-tremendously-powerful,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",0.3,1.0,0.0
Leaked AMD Radeon RX 6900 XT photos confirm thick design ...,Notebookcheck.net,"Sep 17, 2020",2020-09-17,"Regardless, AMD's triple-fan RX 6000 series card will have two DisplayPorts, along with single HDMI and USB Type-C connections. RedGamingTech adds that ...",https://www.notebookcheck.net/Leaked-AMD-Radeon-RX-6900-XT-photos-confirm-thick-design-and-I-O.494474.0.html,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",-0.30000000000000004,0.475,-0.3182
AMD Stock Exposure With Synthetic Long Option Strategy,Investor's Business Daily,"Sep 17, 2020",2020-09-17,"A synthetic long stock position involves selling an at-the-money put and buying an at-the-money call. With leading stocks like Advanced Micro Devices (AMD), ...",https://www.investors.com/research/options/amd-stock-exposure-with-synthetic-long-option-strategy/,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",-0.05,0.4,0.0
HP's new PCs include the first-ever AMD-based business class desktop mini PCs,ZDNet,"Sep 16, 2020",2020-09-16,"Among the new devices revealed Wednesday are new AMD-based products: The HP ProDesk 405, featuring AMD Ryzen Pro series processors, is the first-ever ...",https://www.zdnet.com/article/hps-new-pcs-include-the-first-ever-amd-based-business-class-desktop-mini-pcs/,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",0.13636363636363635,0.45454545454545453,0.0
AMD teases high-performance CPU and GPU hardware for CES 2021,TechRadar,"Sep 16, 2020",2020-09-16,"This includes Ryzen 5000 'Cezanne' APUs that might be AMD's final chip to feature on the AM4 socket, and new 7nm processors codenamed 'Van Gogh' which ...",https://www.techradar.com/news/amd-teases-high-performance-cpu-and-gpu-hardware-for-ces-2021,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",0.0,0.0,-0.296
AMD adds another five petaflops to Covid-19 HPC Consortium,DatacenterDynamics,"Sep 16, 2020",2020-09-16,The Penguin Computing clusters are colocated in data center space donated by DataBank. Here's hoping. AMD Epyc. – AMD. “AMD is proud ...,https://www.datacenterdynamics.com/en/news/amd-adds-another-five-petaflops-covid-19-hpc-consortium/,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",0.0,0.0,0.0
AMD just revealed its Big Navi graphics card design on Fortnite of all things,TechRadar,"Sep 14, 2020",2020-09-14,"And AMD fans can even get a closer look at the card on Fortnite of all things, through AMD's Battle Arena in the same game. If you want to log in and take a look at ...",https://www.techradar.com/sg/news/amd-just-revealed-its-big-navi-graphics-card-design-on-fortnite-of-all-things,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",0.0,0.1,0.0
AMD Ryzen 4000 specs might have just leaked - courtesy of AMD,TechRadar,"Sep 14, 2020",2020-09-14,"AMD's current Zen and Zen 2 processors belong to Family 17h, so Family 19h likely refer to its next-generation Zen 3 architecture. There's a whole world of PC ...",https://www.techradar.com/sg/news/amd-ryzen-4000-specs-might-have-just-leaked-courtesy-of-amd,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",0.0,0.0,0.0516
AMD COVID-19 HPC Fund Adds 18 Institutions and Five ...,GlobeNewswire,"Sep 14, 2020",2020-09-14,"High performance AMD EPYC CPUs and Radeon Instinct GPUs to power COVID-19 focused research at Stanford School of Medicine, The University of Texas at ...",https://www.globenewswire.com/news-release/2020/09/14/2093009/0/en/AMD-COVID-19-HPC-Fund-Adds-18-Institutions-and-Five-Petaflops-of-Supercomputer-Processing-Power-to-Assist-Researchers-Fighting-COVID-19-Pandemic.html,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",0.0,0.0,0.0
Intel Tiger Lake laptops will get 8-core CPUs to take on AMD Ryzen 4000,TechRadar,"Sep 14, 2020",2020-09-14,"When they emerge further down the line, 8-core Tiger Lake models could pose quite a threat to AMD's Ryzen 4000 mobile chips which started appearing in ...",https://www.techradar.com/sg/news/intel-tiger-lake-laptops-will-get-8-core-cpus-to-take-on-amd-ryzen-4000,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",0.0,0.0,0.0
