month,year,topic,batchLength,textBlobAdjustedLength,vaderAdjustedLength,meanPolarity,meanSubjectivity,meanAdjustedPolarity,meanAdjustedSubjectivity,meanVaderPolarity,meanAdjustedVaderPolarity
1,2020,Japanese Anime,50,26,21,0.1778232323232323,0.2863181818181818,0.3419677544677544,0.5121503496503497,0.14500799999999997,0.3452571428571428
2,2020,Japanese Anime,50,21,28,0.02926515151515152,0.20694318181818183,0.06967893217893219,0.42665043290043286,0.122698,0.21910357142857143
3,2020,Japanese Anime,50,23,24,0.1401525974025974,0.2535919913419913,0.3046795595708639,0.48462027103331445,0.17236200000000002,0.3590875
4,2020,Japanese Anime,50,29,37,0.16635984848484844,0.2964356060606061,0.28682732497387664,0.495578631138976,0.159564,0.21562702702702705
5,2020,Japanese Anime,50,33,27,0.1782272727272727,0.31446212121212125,0.27004132231404954,0.47266988062442616,0.012722000000000021,0.0235592592592593
6,2020,Japanese Anime,50,28,26,0.1351186868686869,0.2546414141414141,0.24128336940836945,0.43090728715728716,0.048398000000000004,0.09307307692307693
7,2020,Japanese Anime,50,29,28,0.058165367965367955,0.24319249639249638,0.1002851171816689,0.4106767179180972,0.038648,0.06901428571428572
8,2020,Japanese Anime,50,24,25,0.09762193362193364,0.22809559884559888,0.2033790283790284,0.4168658309283309,0.191742,0.383484
9,2020,Japanese Anime,50,24,26,0.19754545454545455,0.2758106060606061,0.4115530303030303,0.5345012626262627,0.134128,0.2579384615384615
10,2020,Japanese Anime,50,26,28,0.1092348484848485,0.2588106060606061,0.21006701631701635,0.45925116550116546,0.07567399999999999,0.13513214285714284
11,2020,Japanese Anime,50,16,23,0.05586940836940837,0.19524603174603175,0.17459190115440115,0.5398313492063492,0.13531200000000002,0.2941565217391305
12,2020,Japanese Anime,50,16,22,0.08846861471861471,0.24995887445887444,0.276464420995671,0.5113298160173159,-0.008693999999999992,-0.01975909090909089
1,2020,Korean Drama,50,28,28,0.17970873015873015,0.28955317460317465,0.3209084467120181,0.47777352607709755,0.180482,0.3222892857142857
2,2020,Korean Drama,50,20,33,0.20230519480519482,0.19218398268398268,0.505762987012987,0.4421266233766234,0.11176199999999997,0.16933636363636362
3,2020,Korean Drama,50,33,34,0.18643593073593073,0.3652632034632035,0.2824786829332284,0.5291866719139448,0.08538599999999995,0.12556764705882345
4,2020,Korean Drama,50,29,25,0.21215367965367965,0.3052900432900433,0.36578220629944763,0.4798104194655918,0.093776,0.187552
5,2020,Korean Drama,50,34,24,0.16168989898989902,0.32495945165945167,0.23777926322043974,0.4484697818521349,0.11271600000000001,0.23482500000000003
6,2020,Korean Drama,50,25,25,0.1550808080808081,0.213510101010101,0.3101616161616162,0.423020202020202,0.20762599999999995,0.4152519999999999
7,2020,Korean Drama,50,32,34,0.14407251082251082,0.3811504329004329,0.22511329816017314,0.559089218073593,0.12486599999999998,0.18362647058823525
8,2020,Korean Drama,50,27,27,0.13864983164983166,0.3128787878787878,0.25675894749968825,0.5176767676767676,0.13832799999999998,0.2561629629629629
9,2020,Korean Drama,50,27,28,0.07333838383838383,0.30845202020202017,0.13581182192293303,0.5205901608679386,0.11937000000000003,0.21316071428571434
10,2020,Korean Drama,50,22,25,0.144194227994228,0.23007150072150073,0.3277141545323364,0.4503518955791682,0.151616,0.303232
11,2020,Korean Drama,50,23,24,0.09121861471861474,0.2292164502164502,0.19830133634481464,0.4548183700357613,0.10575799999999999,0.22032916666666666
12,2020,Korean Drama,50,25,25,0.21947727272727272,0.28714646464646465,0.43895454545454543,0.5602929292929293,0.257658,0.515316
