title,media,date,datetime,desc,link,img,textBlob polarity,textBlob subjectivity,vader polarity
'Sweet Home' scores a home run with its creative monsters ...,The Star Online,48 mins ago,2020-12-24 16:00:24.691220,"New drama Sweet Home, which is based on a popular webtoon, is unlike most TV shows from South Korea. Far from looking pristine, featuring lush ...",https://www.thestar.com.my/lifestyle/entertainment/2020/12/24/korean-drama-039sweet-home039-scores-a-home-run-with-its-creative-monsters-and-metaphors,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",0.425,0.825,0.7096
Studio Dragon Creates Relatable Korean Dramas For A Global Audience,Forbes,19 hours ago,2020-12-23 21:48:27.110867,"Studio Dragon is where much of the k-drama magic happens. The company produced the hit drama The King: The Eternal Monarch, starring Lee Min-ho and Kim ...",https://www.forbes.com/sites/joanmacdonald/2020/12/23/studio-dragon-creates-relatable-korean-dramas-for-a-global-audience/,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",0.0,0.0,0.2732
Every K-Drama Series on Netflix in 2020,What's on Netflix,1 day ago,2020-12-23 16:48:29.508962,"Netflix is fast becoming the global home for K-Dramas, and over the past few years the streaming service has stepped up its output of K-Drama content.",https://www.whats-on-netflix.com/what-to-watch/every-k-drama-series-on-netflix-in-2020/,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",0.0,0.0,0.0
Cross-cultural understanding - Korean drama producer's success key in Indonesia,Korea Times,1 day ago,2020-12-23 16:48:29.499018,"Park Sung-soo, after spending his teenage years in Indonesia and going to college in Korea, developed the business acumen to produce the first web drama ...",https://www.koreatimes.co.kr/www/art/2020/12/398_301251.html,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",0.15,0.5,0.5719
Kim Seon Ho talks about his portrayal of Han Ji Pyeong in ...,The Independent,1 day ago,2020-12-23 16:48:27.112891,"Kim Seon Ho talks about his portrayal of Han Ji Pyeong in Korean drama, Start-Up. The Korean actor said that if he was in Ji Pyeong's shoes in real life, he would ...",https://theindependent.sg/kim-seon-ho-talks-about-his-portrayal-of-han-ji-pyeong-in-korean-drama-start-up/,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",0.0,0.0,0.0
The Uncanny Counter midseason recap: characters shine in fantasy,South China Morning Post,1 day ago,2020-12-23 16:48:24.692217,"Netflix K-drama midseason recap: The Uncanny Counter – characters shine as fantasy story takes on familiar elements. So-mun, Mo-tak, Ha-na and Mae-ok, the ...",https://www.scmp.com/lifestyle/k-pop/k-drama/article/3115074/netflix-k-drama-midseason-recap-uncanny-counter-characters,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",0.0,0.0,0.0
Run On episode 3: Release date and time for Netflix’s latest K-drama explained,HITC,2 days ago,2020-12-22 16:48:27.120870,"The latest Korean drama to land on Netflix is the romantic series 'Run On', but what ... it's already been a fantastic month for fans of Korean dramas on Netflix.",https://www.hitc.com/en-gb/2020/12/21/run-on-episode-3-release-date-and-time-for-netflixs-latest-k-drama-explained/,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",0.5,0.9,0.0
Sweet Home: monster fun in Netflix’s hokey Korean horror show,South China Morning Post,3 days ago,2020-12-21 16:48:25.795133,"K-drama review: Sweet Home – in Netflix horror show, monster fun makes up for a hokey story. Falling somewhere between The Walking Dead, The Raid and ...",https://www.scmp.com/lifestyle/k-pop/k-drama/article/3114760/k-drama-review-sweet-home-netflix-horror-show-bloody-good,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",0.32499999999999996,0.42500000000000004,0.3818
What to watch over the festive season,South China Morning Post,4 days ago,2020-12-20 16:48:27.115883,"From K-drama The Uncanny Counter to Love Actually – what to watch over the festive season. There is no shortage of festive fare to stream, including Love ...",https://www.scmp.com/magazines/post-magazine/arts-music/article/3114311/k-drama-uncanny-counter-love-actually-what-watch,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",0.0,0.0,0.4588
Hot K-drama Start-Up a glimpse into how more women are ...,The Straits Times,4 days ago,2020-12-20 16:48:25.789149,"... a geeky trio of male developers to start a small company in South Korea's Silicon Valley. This may be the premise of the popular Korean drama serial Start-Up, ...",https://www.straitstimes.com/asia/east-asia/hot-k-drama-start-up-a-glimpse-into-how-more-women-are-venturing-into-south-koreas,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",0.375,0.675,0.0
