title,media,date,datetime,desc,link,img,textBlob polarity,textBlob subjectivity,vader polarity
Japanese Anime Kakegurui Release Date and Cast Details,Sunriseread,"Apr 29, 2020",2020-04-29,"Now, Japanese production had taken a responsibility to make Kakegurui Anime season for Japan Specific Television Audience Only. The Story of Japanese is the ...",https://sunriseread.com/japanese-anime-kakegurui-release/92790/,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",0.0,0.0,0.0
The days of free Japanese manga may be coming to an end for Chinese fans,South China Morning Post,"Apr 28, 2020",2020-04-28,... more government attention to IP rights; Revenue generated from paying anime users grew from US$2.8 million in 2012 to an estimated 7 billion yuan in 2019.,https://www.scmp.com/tech/enterprises/article/3081923/japanese-manga-giant-shueisha-moves-hit-titles-behind-paywalls,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",0.13333333333333333,0.26666666666666666,0.5106
Architecture and Japanese anime shine in the release of a ...,Archinect,"Apr 27, 2020",2020-04-27,"From beautifully hand-drawn sketches, storyboards, and paintings, anime artists and creators have expanded the worlds of Japan's ""ultramodern animated films."".",https://archinect.com/news/article/150193985/architecture-and-japanese-anime-shine-in-the-release-of-a-new-book-by-les-jardins-des-pilotes,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",0.0,0.0,0.0
Attack On Titan: 10 Insane Fan Theories That Prove The Anime Is Propaganda,CBR,"Apr 27, 2020",2020-04-27,9 Blind Pro-Japanese Nationalism. Many fans have alleged the anime pushes Japanese Prime Minister Abe's ...,https://www.cbr.com/attack-on-titan-manga-anime-fan-theories-propaganda-problematic/,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",-0.55,0.55,-0.6705
ANIME NEWS: Size matters: Gundam Cafe Akihabara to get ...,Asahi Shimbun,"Apr 26, 2020",2020-04-26,"Japan's very first official cafe devoted to the anime is about to get a whole lot bigger. Ten years after it debuted in the capital's sanctuary for anime fans, Gundam ...",http://www.asahi.com/ajw/articles/13293986,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",0.0,0.0,0.0258
10 Times Anime Normalized Extremely Questionable Acts (Which You Never Realized),CBR,"Apr 26, 2020",2020-04-26,Right from incest to pedophilia to abuse – there isn't much that Japan hasn't kawaii-fied and presented to their non-Japanese audience as something that's totally ...,https://www.cbr.com/anime-extremely-questionable-acts/,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",-0.5,1.0,-0.3597
‘The Promised Neverland’ season 2’s delay receives mixed reactions from fans,Micky News,"Apr 25, 2020",2020-04-25,"The Japanese anime, The Promised Neverland is officially confirmed to return for the second season. Fans have mixed reactions to the delay. The original ...",https://micky.com.au/the-promised-neverland-season-2s-delay-receives-mixed-reactions-from-fans/,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",0.0,0.25,0.0516
Anime Festival Asia to hold online event for Japanese pop culture enthusiasts - The Jakarta Post,Jakarta Post,"Apr 24, 2020",2020-04-24,The annual Japanese pop culture event Anime Festival Asia (AFA) is set to hold an online event following the COVID-19 pandemic that has forced numerous ...,https://www.thejakartapost.com/life/2020/04/24/anime-festival-asia-to-hold-online-event-for-japanese-pop-culture-enthusiasts.html,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",0.0,0.0,0.6808
SHTM Research shows Japanese animated television shows ...,Hospitality Net,"Apr 24, 2020",2020-04-24,"The popularity of anime, Japanese animated television shows and films, is motivating Hong Kong fans to visit Japan in a powerful example of cultural ""soft ...",https://www.hospitalitynet.org/news/4098297.html,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",0.0,0.0,0.0
Sailor Moon anime from the '90s now available for free on ...,Time Out,"Apr 24, 2020",2020-04-24,"The anime adaption of Naoko Takeuchi's manga 'Pretty Soldier Sailor Moon' ... Unfortunately, the episodes are only available in Japanese without English ...",https://www.timeout.com/tokyo/news/sailor-moon-anime-from-the-90s-now-available-for-free-on-youtube-042420,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",0.4,0.6000000000000001,0.5106
Fans rate the top 10 backstabbing anime characters in survey,SoraNews24,"Apr 24, 2020",2020-04-24,"That's why Japan's goo Ranking asked over 3,000 people who they would pick as the most traitorous character that anime has to offer. While we won't be getting ...",https://soranews24.com/2020/04/24/fans-rate-the-top-10-backstabbing-anime-characters-in-survey/,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",0.5,0.5,0.2023
Japanese fans pick their top 10 fave dastardly anime protagonists in online poll,SoraNews24,"Apr 23, 2020",2020-04-23,Japanese fans pick their top 10 fave dastardly anime protagonists in online poll ... Japan's netizens club together to crown fictional stars who are flies in your ...,https://soranews24.com/2020/04/23/japanese-fans-pick-their-top-10-fave-dastardly-anime-protagonists-in-online-poll/,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",0.25,0.25,0.5719
First Three Evangelion Rebuild Films Released On YouTube ...,Geek Culture,"Apr 23, 2020",2020-04-23,"That said, it is still a rare opportunity to catch a Japanese anime film legally on a public streaming platform. We can only hope more production studios take a leaf ...",https://geekculture.co/first-three-evangelion-build-films-released-on-youtube-till-30-april/,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",0.25,0.3333333333333333,0.0
'Sailor Moon' to Stream First Three Series Free on YouTube,HYPEBEAST,"Apr 23, 2020",2020-04-23,"The refreshing news also comes just days after several other Japanese anime series have been delayed or suspended, including One Piece, Digimon ...",https://hypebeast.com/2020/4/sailor-moon-free-streaming-youtube-crunchyroll,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",0.325,0.5666666666666667,0.5106
The ‘East Blue’ and ‘Alabasta’ Sagas of One Piece Coming to Netflix June 2020,What's on Netflix,"Apr 23, 2020",2020-04-23,"One Piece is the Japanese anime based on the manga of the same name. Written by Eiichiro Oda. The series has been in publication since the 22nd July 1997, ...",https://www.whats-on-netflix.com/news/the-east-blue-and-alabasta-sagas-of-one-piece-coming-to-netflix-june-2020/,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",0.0,0.1,0.0
10 Anime You'll Like If You Enjoyed Attack On Titan | CBR,CBR,"Apr 23, 2020",2020-04-23,"Attack of Titan took the world of anime fans by storm from the very moment it first aired. Not only did it create a massive fan base in Japan, but it created a cult-like ...",https://www.cbr.com/attack-titan-similar-anime/,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",0.5,0.7,0.4019
Anime/manga One-Punch Man to be turned into a Hollywood live-action movie,SoraNews24,"Apr 22, 2020",2020-04-22,"After three years, it had attracted enough fans for a remake in the pages of Weekly Shonen Jump, Japan's most popular manga anthology, with ONE handling the ...",https://soranews24.com/2020/04/22/anime-manga-one-punch-man-to-be-turned-into-a-hollywood-live-action-movie/,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",0.0,0.0,0.0
Best free anime and video game backgrounds for your video ...,Time Out,"Apr 22, 2020",2020-04-22,"Everyone's favourite Japanese monster can now be added to your background collection, thanks to Godzilla Japan's official Twitter. For something cuter, try these ...",https://www.timeout.com/tokyo/things-to-do/best-free-anime-and-video-game-backgrounds-for-your-video-calls,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",0.3333333333333333,0.5,0.8176
