title,media,date,datetime,desc,link,img,textBlob polarity,textBlob subjectivity,vader polarity
7 K-dramas that feature out-of-the-box LGBTQ+ characters and stories,South China Morning Post,"Apr 29, 2020",2020-04-29,"The rise of LGBTQ+ characters in K-dramas is a sure sign that Korea is becoming more open, inclusive and accepting of the queer community. Although Korean ...",https://www.scmp.com/magazines/style/news-trends/article/3081921/itaewon-class-6-more-korean-dramas-spotlighting-lgbt,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",0.0,0.0,0.0
"Extracurricular: Cast of Korean Netflix drama, previous roles and Instagram",HITC,"Apr 29, 2020",2020-04-29,"Over the past few years, Netflix has produced some excellent Korean dramas, from Kingdom to Itaewon Class and their latest series, Extracurricular is no ...",https://www.hitc.com/en-gb/2020/04/29/extracurricular-who-are-the-netflix-cast-previous-roles-and-inst/,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",-0.16666666666666666,0.16666666666666666,0.0
The World Of The Married gives The King: Eternal Monarch a run for its money with remarkable ratings,PINKVILLA,"Apr 28, 2020",2020-04-28,"With the 10th episode rating, The World of the Married becomes the second most-watched drama in the history of Korean cable history. The K-Drama is short of ...",https://www.pinkvilla.com/entertainment/hollywood/world-married-gives-king-eternal-monarch-run-its-money-remarkable-ratings-527790,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",0.5,0.5,0.5574
The best Korean dramas to expect on Netflix coming in 2020,AsiaOne,"Apr 27, 2020",2020-04-27,This romantic fantasy drama takes the usual k-drama to a new level. Two parallel universes have been opened and demons have been unleashed. King Lee ...,https://www.asiaone.com/entertainment/best-korean-dramas-expect-netflix-coming-2020,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",1.0,0.3,0.6369
"K-Drama Review: ""When The Weather Is Fine"" Bestows A ...",hellokpop,"Apr 26, 2020",2020-04-26,"Headlined by Park Min Young and Seo Kang Joon, the drama also stars Lee Jae Wook, Kim Hwan Hee and Moon Jeong Hee in key roles. Park Min Young plays ...",https://www.hellokpop.com/review/k-drama-review-when-the-weather-is-fine/,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",0.4166666666666667,0.5,0.2023
Park Seo Joon details how his role in hit K-drama 'Itaewon ...,GMA News,"Apr 26, 2020",2020-04-26,"""Itaewon Class"" is a webtoon adapted into a K-drama by JTBC. Philippine audiences have been able to enjoy it on Netflix, where it's consistently in the Top 10 ...",https://www.gmanetwork.com/news/showbiz/showbizabroad/735623/park-seo-joon-details-how-his-role-in-hit-k-drama-itaewon-class-changed-him/story/,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",0.0,0.0,0.0
"""The World Of The Married"" Leads Reveal Some Interesting ...",hellokpop,"Apr 25, 2020",2020-04-25,"Up to now, the drama has been attaining higher viewership ratings each day, and recently surpassed 20% ratings according to Nielsen Korea. In addition to that, ...",https://www.hellokpop.com/featured/the-world-of-the-married-main-leads-interview/,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",0.375,0.375,0.4019
More revenge coming in second part of ‘The World of the Married’ - The Jakarta Post,Jakarta Post,"Apr 25, 2020",2020-04-25,"Halfway through the 16-episode set, JTBC's sensational drama “The World of the Married” is gaining more popularity with each episode as the relationship ...",https://www.thejakartapost.com/life/2020/04/25/more-revenge-coming-in-second-part-of-the-world-of-the-married.html,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",0.25,0.25,-0.5709
K-drama Hotel Del Luna to have its own exhibition,The Straits Times,"Apr 25, 2020",2020-04-25,SEOUL • Still cannot get enough of K-drama Hotel Del Luna (2019)? A ... going to visit South Korea and see these IU billboards and eat lots of authentic Korean ...,https://www.straitstimes.com/lifestyle/entertainment/k-drama-hotel-del-luna-to-have-its-own-exhibition,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",0.6,1.0,0.0
"Review: ""The King: Eternal Monarch"" Stars Lee Min-ho In A ...",Cinema Escapist,"Apr 25, 2020",2020-04-25,"It's 1994, and Korea is a monarchy—the “Kingdom of Corea” with a “C” and not “K,” ... Lee Min-ho and Kim Go-eun are two of Korea's hottest drama stars and, ...",https://www.cinemaescapist.com/2020/04/review-king-eternal-monarch-kdrama/,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",0.0,0.0,0.0
A World of Married Couple is next watchable K-Drama,Philippine Entertainment Portal,"Apr 24, 2020",2020-04-24,"It is now the drama with second-highest viewership ratings on JTBC, and is expected to exceed the ratings of Sky Castle, South Korea's highest-rated drama on ...",https://www.pep.ph/guide/tv/150974/a-world-of-married-couple-review-a721-20200424,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",0.125,0.125,0.0
"5 biggest plot holes in Kingdom, Netflix’s Korean zombie masterpiece",South China Morning Post,"Apr 24, 2020",2020-04-24,"Kingdom on Netflix – the 5 biggest plot holes in the Korean zombie drama which is drawing coronavirus comparisons. With the social commentary of Parasite, ...",https://www.scmp.com/magazines/style/news-trends/article/3081270/kingdom-netflix-5-biggest-plot-holes-korean-zombie,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",0.0,0.0,0.6249
Everything you need to know about K-drama hit The King: Eternal Monarch so far,South China Morning Post,"Apr 23, 2020",2020-04-23,"The King: Eternal Monarch on Netflix – the Korean drama starring Lee Min-ho, Lee Jung-jin and Kim Go-eun mixing royal intrigue, love triangles and parallel ...",https://www.scmp.com/magazines/style/news-trends/article/3081240/king-eternal-monarch-netflix-korean-drama-starring-lee,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",0.1,1.0,0.0
"Hi Bye, Mama!: Netflix drama more cloying than tear-jerking",South China Morning Post,"Apr 23, 2020",2020-04-23,Korean drama series features Kim Tae-hee as a mother who comes back to life five years after her death and must win back her place in the land of the living; At ...,https://www.scmp.com/lifestyle/entertainment/article/3081287/k-drama-review-hi-bye-mama-netflix-series-starring-kim-tae,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",0.5,0.5,0.0
CNN Indonesia apologises for using K-drama actor photo in ...,CNA,"Apr 23, 2020",2020-04-23,Bookmark. The hit K-drama series Crash Landing On You introduced many viewers to the world of North Korea – but an Indonesian channel may have taken it a ...,https://www.channelnewsasia.com/news/lifestyle/kim-jong-un-hyun-bin-crash-landing-on-you-cnn-indonesia-12670230,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",0.0,0.0,0.2023
"‘Crash Landing on You’ review: K-drama checks all the right notes, with a lot of heart",The Hindu,"Apr 23, 2020",2020-04-23,"Currently streaming on Netflix, the Korean show is the perfect comfort watch with ... If you are a newbie to K-dramas and wondering where to dip the proverbial ...",https://www.thehindu.com/entertainment/movies/crash-landing-on-you-review-k-drama-checks-all-the-right-notes-with-a-lot-of-heart/article31415444.ece,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",0.2857142857142857,0.5357142857142857,0.6369
"From K-pop idol to K-drama star, Cha Eun-woo is someone to watch",South China Morning Post,"Apr 23, 2020",2020-04-23,Cha Eun-woo became a household name thanks to his superb acting in top K-dramas such as My ID is Gangnam Beauty and Rookie Historian Hoo Hae Ryung.,https://www.scmp.com/magazines/style/celebrity/article/3081085/k-pop-idol-k-drama-star-why-cha-eun-woo-someone-watch,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",0.0,0.0,0.0
How K-drama Once Again shocked viewers – forcing KBS to apologise,South China Morning Post,"Apr 22, 2020",2020-04-22,How K-drama Once Again shocked viewers – forcing KBS to apologise for its sexualised portrayal of women. Viewers were outraged by the depiction of women in ...,https://www.scmp.com/magazines/style/celebrity/article/3081084/how-k-drama-once-again-shocked-viewers-forcing-kbs,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",-0.7,0.8,0.0772
"K-Drama, ONCE AGAIN, Headlined by Lee Min-jung of MS ...",AsiaOne,"Apr 22, 2020",2020-04-22,"K-Drama, ONCE AGAIN, Headlined by Lee Min-jung of MS Team, Wholly Owned by Spackman Entertainment Group's Associated Company Spackman Media ...",https://www.asiaone.com/business/k-drama-once-again-headlined-lee-min-jung-ms-team-wholly-owned-spackman-entertainment,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",0.0,0.0,0.0
South Korean star Lee Min-ho returns to TV with The King ...,The Straits Times,"Apr 21, 2020",2020-04-21,The 32-year-old eventually decided on fantasy romance drama The King: Eternal Monarch. In a video call with media outlets from Singapore and the Philippines ...,https://www.straitstimes.com/lifestyle/entertainment/south-korean-star-lee-min-ho-returns-to-tv-with-the-king-eternal-monarch,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",0.0,0.0,0.0
Collaboration between Korean drama and modern tea brand ...,Canada NewsWire,"Apr 20, 2020",2020-04-20,"Korean dramas always provide viewers unique viewing experiences, part of the reasons why they often collaborate and work with different brand industries.",https://www.newswire.ca/news-releases/collaboration-between-korean-drama-and-modern-tea-brand-for-the-first-time-the-king-eternal-monarch-x-the-alley-802404719.html,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",0.2,0.3,0.0
TV series under fire for sexual objectification,Korea Times,"Apr 20, 2020",2020-04-20,"The apology came after viewers criticized the drama for sexually objectifying women. In the 13rd and 14th episodes, three female characters, who opened a ...",https://www.koreatimes.co.kr/www/art/2020/04/688_288171.html,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",0.5,0.8333333333333334,-0.34
"K-Drama Premiere: ""The King: Eternal Monarch"" Embarks On ...",hellokpop,"Apr 19, 2020",2020-04-19,"K-Drama Premiere: “The King: Eternal Monarch” Embarks On An Intriguing Blend Of Science Fiction, Supernatural Elements & Engaging Romance Story.",https://www.hellokpop.com/featured/k-drama-premiere-the-king-eternal-monarch/,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",0.0,0.0,0.0
Netflix's 'Crash Landing on You' is more than an unrealistic ...,Duke Chronicle,"Apr 19, 2020",2020-04-19,"The romantic comedy, which achieved the second highest ratings in Korean cable ... It also leads into clichés common in K-dramas — the guy protecting the girl, ...",https://www.dukechronicle.com/article/2020/04/netflixs-crash-landing-on-you-is-more-than-an-unrealistic-romance-across-enemy-lines,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",0.0,0.75,-0.4019
South Korean superstar Lee Min-ho marks comeback after military service with Netflix fantasy romance drama (VIDEO),Malay Mail,"Apr 17, 2020",2020-04-17,"South Korean superstar Lee Min-ho marks comeback after military service with Netflix fantasy romance drama (VIDEO). Friday, 17 Apr 2020 01:01 PM MYT. BY ...",https://www.malaymail.com/news/showbiz/2020/04/17/south-korean-superstar-lee-min-ho-marks-comeback-after-military-service-wit/1857597,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",-0.1,0.1,0.5574
Lee Min-Ho Reigns In The Drama ‘The King: The Eternal Monarch’,Forbes,"Apr 17, 2020",2020-04-17,Travel between parallel worlds is a common theme in k-dramas—whether the action shifts from a real to a comic book world or from the past to the present.,https://www.forbes.com/sites/joanmacdonald/2020/04/17/lee-min-ho-reigns-in-the-drama-the-king-the-eternal-monarch/,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",0.0,0.0,0.0
